Home \ Away,ARS,AST,BRA,CHA,CHE,COV,DER,EVE,IPS,LEE,LEI,LIV,MCI,MUN,MID,NEW,SOU,SUN,TOT,WHU
Arsenal,,1~0,2~0,5~3,1~1,2~1,0~0,4~1,1~0,2~1,6~1,2~0,5~0,1~0,0~3,5~0,1~0,2~2,2~0,3~0
Aston Villa,0~0,,2~0,2~1,1~1,3~2,4~1,2~1,2~1,1~2,2~1,0~3,2~2,0~1,1~1,1~1,0~0,0~0,2~0,2~2
Bradford City,1~1,0~3,,2~0,2~0,2~1,2~0,0~1,0~2,1~1,0~0,0~2,2~2,0~3,1~1,2~2,0~1,1~4,3~3,1~2
Charlton Athletic,1~0,3~3,2~0,,2~0,2~2,2~1,1~0,2~1,1~2,2~0,0~4,4~0,3~3,1~0,2~0,1~1,0~1,1~0,1~1
Chelsea,2~2,1~0,3~0,0~1,,6~1,4~1,2~1,4~1,1~1,0~2,3~0,2~1,1~1,2~1,3~1,1~0,2~4,3~0,4~2
Coventry City,0~1,1~1,0~0,2~2,0~0,,2~0,1~3,0~1,0~0,1~0,0~2,1~1,1~2,1~3,0~2,1~1,1~0,2~1,0~3
Derby County,1~2,1~0,2~0,2~2,0~4,1~0,,1~0,1~1,1~1,2~0,0~4,1~1,0~3,3~3,2~0,2~2,1~0,2~1,0~0
Everton,2~0,0~1,2~1,3~0,2~1,1~2,2~2,,0~3,2~2,2~1,2~3,3~1,1~3,2~2,1~1,1~1,2~2,0~0,1~1
Ipswich Town,1~1,1~2,3~1,2~0,2~2,2~0,0~1,2~0,,1~2,2~0,1~1,2~1,1~1,2~1,1~0,3~1,1~0,3~0,1~1
Leeds United,1~0,1~2,6~1,3~1,2~0,1~0,0~0,2~0,1~2,,3~1,4~3,1~2,1~1,1~1,1~3,2~0,2~0,4~3,0~1
Leicester City,0~0,0~0,1~2,3~1,2~1,1~3,2~1,1~1,2~1,3~1,,2~0,1~2,0~3,0~3,1~1,1~0,2~0,4~2,2~1
Liverpool,4~0,3~1,1~0,3~0,2~2,4~1,1~1,3~1,0~1,1~2,1~0,,3~2,2~0,0~0,3~0,2~1,1~1,3~1,3~0
Manchester City,0~4,1~3,2~0,1~4,1~2,1~2,0~0,5~0,2~3,0~4,0~1,1~1,,0~1,1~1,0~1,0~1,4~2,0~1,1~0
Manchester United,6~1,2~0,6~0,2~1,3~3,4~2,0~1,1~0,2~0,3~0,2~0,0~1,1~1,,2~1,2~0,5~0,3~0,2~0,3~1
Middlesbrough,0~1,1~1,2~2,0~0,1~0,1~1,4~0,1~2,1~2,1~2,0~3,1~0,1~1,0~2,,1~3,0~1,0~0,1~1,2~1
Newcastle United,0~0,3~0,2~1,0~1,0~0,3~1,3~2,0~1,2~1,2~1,1~0,2~1,0~1,1~1,1~2,,1~1,1~2,2~0,2~1
Southampton,3~2,2~0,2~0,0~0,3~2,1~2,1~0,1~0,0~3,1~0,1~0,3~3,0~2,2~1,1~3,2~0,,0~1,2~0,2~3
Sunderland,1~0,1~1,0~0,3~2,1~0,1~0,2~1,2~0,4~1,0~2,0~0,1~1,1~0,0~1,1~0,1~1,2~2,,2~3,1~1
Tottenham Hotspur,1~1,0~0,2~1,0~0,0~3,3~0,3~1,3~2,3~1,1~2,3~0,2~1,0~0,3~1,0~0,4~2,0~0,2~1,,1~0
West Ham United,1~2,1~1,1~1,5~0,0~2,1~1,3~1,0~2,0~1,0~2,0~1,1~1,4~1,2~2,1~0,1~0,3~0,0~2,0~0,
