Home \ Away,ARS,AST,BLB,BOL,CHA,CHE,DER,EVE,FUL,IPS,LEE,LEI,LIV,MUN,MID,NEW,SOU,SUN,TOT,WHU
Arsenal, ,3~2,3~3,1~1,2~4,2~1,1~0,4~3,4~1,2~0,1~2,4~0,1~1,3~1,2~1,1~3,1~1,3~0,2~1,2~0
Aston Villa,1~2, ,2~0,3~2,1~0,1~1,2~1,0~0,2~0,2~1,0~1,0~2,1~2,1~1,0~0,1~1,2~1,0~0,1~1,2~1
Blackburn Rovers,2~3,3~0, ,1~1,4~1,0~0,0~1,1~0,3~0,2~1,1~2,0~0,1~1,2~2,0~1,2~2,2~0,0~3,2~1,7~1
Bolton Wanderers,0~2,3~2,1~1, ,0~0,2~2,1~3,2~2,0~0,4~1,0~3,2~2,2~1,0~4,1~0,0~4,0~1,0~2,1~1,1~0
Charlton Athletic,0~3,1~2,0~2,1~2, ,2~1,1~0,1~2,1~1,3~2,0~2,2~0,0~2,0~2,0~0,1~1,1~1,2~2,3~1,4~4
Chelsea,1~1,1~3,0~0,5~1,0~1, ,2~1,3~0,3~2,2~1,2~0,2~0,4~0,0~3,2~2,1~1,2~4,4~0,4~0,5~1
Derby County,0~2,3~1,2~1,1~0,1~1,1~1, ,3~4,0~1,1~3,0~1,2~3,0~1,2~2,0~1,2~3,1~0,0~1,1~0,0~0
Everton,0~1,3~2,1~2,3~1,0~3,0~0,1~0, ,2~1,1~2,0~0,2~2,1~3,0~2,2~0,1~3,2~0,1~0,1~1,5~0
Fulham,1~3,0~0,2~0,3~0,0~0,1~1,0~0,2~0, ,1~1,0~0,0~0,0~2,2~3,2~1,3~1,2~1,2~0,0~2,0~1
Ipswich Town,0~2,0~0,1~1,1~2,0~1,0~0,3~1,0~0,1~0, ,1~2,2~0,0~6,0~1,1~0,0~1,1~3,5~0,2~1,2~3
Leeds United,1~1,1~1,3~1,0~0,0~0,0~0,3~0,3~2,0~1,2~0, ,2~2,0~4,3~4,1~0,3~4,2~0,2~0,2~1,3~0
Leicester City,1~3,2~2,2~1,0~5,1~1,2~3,0~3,0~0,0~0,1~1,0~2, ,1~4,0~1,1~2,0~0,0~4,1~0,2~1,1~1
Liverpool,1~2,1~3,4~3,1~1,2~0,1~0,2~0,1~1,0~0,5~0,1~1,1~0, ,3~1,2~0,3~0,1~1,1~0,1~0,2~1
Manchester United,0~1,1~0,2~1,1~2,0~0,0~3,5~0,4~1,3~2,4~0,1~1,2~0,0~1, ,0~1,3~1,6~1,4~1,4~0,0~1
Middlesbrough,0~4,2~1,1~3,1~1,0~0,0~2,5~1,1~0,2~1,0~0,2~2,1~0,1~2,0~1, ,1~4,1~3,2~0,1~1,2~0
Newcastle United,0~2,3~0,2~1,3~2,3~0,1~2,1~0,6~2,1~1,2~2,3~1,1~0,0~2,4~3,3~0, ,3~1,1~1,0~2,3~1
Southampton,0~2,1~3,1~2,0~0,1~0,0~2,2~0,0~1,1~1,3~3,0~1,2~2,2~0,1~3,1~1,3~1, ,2~0,1~0,2~0
Sunderland,1~1,1~1,1~0,1~0,2~2,0~0,1~1,1~0,1~1,1~0,2~0,2~1,0~1,1~3,0~1,0~1,1~1, ,1~2,1~0
Tottenham Hotspur,1~1,0~0,1~0,3~2,0~1,2~3,3~1,1~1,4~0,1~2,2~1,2~1,1~0,3~5,2~1,1~3,2~0,2~1, ,1~1
West Ham United,1~1,1~1,2~0,2~1,2~0,2~1,4~0,1~0,0~2,3~1,0~0,1~0,1~1,3~5,1~0,3~0,2~0,3~0,0~1, 
