Home \ Away,ARS,AST,BIR,BLB,BOL,CHA,CHE,EVE,FUL,LEE,LIV,MCI,MUN,MID,NEW,SOU,SUN,TOT,WBA,WHU
Arsenal, ,3~1,2~0,1~2,2~1,2~0,3~2,2~1,2~1,2~3,1~1,2~1,2~2,2~0,1~0,6~1,3~1,3~0,5~2,3~1
Aston Villa,1~1, ,0~2,3~0,2~0,2~0,2~1,3~2,3~1,0~0,0~1,1~0,0~1,3~0,0~1,0~1,1~0,0~1,2~1,4~1
Birmingham City,0~4,3~0, ,0~1,3~1,1~1,1~3,1~1,0~0,2~1,2~1,0~2,0~1,3~0,0~2,3~2,2~0,1~1,1~0,2~2
Blackburn Rovers,2~0,0~0,1~1, ,0~0,1~0,2~3,0~1,2~1,1~0,2~2,1~0,1~0,1~0,5~2,1~0,0~0,1~2,1~1,2~2
Bolton Wanderers,2~2,1~0,4~2,1~1, ,1~2,1~1,1~2,0~0,0~3,2~3,2~0,1~1,2~1,4~3,1~1,1~1,1~0,1~1,1~0
Charlton Athletic,0~3,3~0,0~2,3~1,1~1, ,2~3,2~1,0~1,1~6,2~0,2~2,1~3,1~0,0~2,2~1,1~1,0~1,1~0,4~2
Chelsea,1~1,2~0,3~0,1~2,1~0,4~1, ,4~1,1~1,3~2,2~1,5~0,2~2,1~0,3~0,0~0,3~0,1~1,2~0,2~3
Everton,2~1,2~1,1~1,2~1,0~0,1~0,1~3, ,2~0,2~0,1~2,2~2,1~2,2~1,2~1,2~1,2~1,2~2,1~0,0~0
Fulham,0~1,2~1,0~1,0~4,4~1,1~0,0~0,2~0, ,1~0,3~2,0~1,1~1,1~0,2~1,2~2,1~0,3~2,3~0,0~1
Leeds United,1~4,3~1,2~0,2~3,2~4,1~2,2~0,0~1,2~0, ,0~1,3~0,1~0,2~3,0~3,1~1,0~1,2~2,0~0,1~0
Liverpool,2~2,1~1,2~2,1~1,2~0,2~1,1~0,0~0,2~0,3~1, ,1~2,1~2,1~1,2~2,3~0,0~0,2~1,2~0,2~0
Manchester City,1~5,3~1,1~0,2~2,2~0,0~1,0~3,3~1,4~1,2~1,0~3, ,3~1,0~0,1~0,0~1,3~0,2~3,1~2,0~1
Manchester United,2~0,1~1,2~0,3~1,0~1,4~1,2~1,3~0,3~0,2~1,4~0,1~1, ,1~0,5~3,2~1,2~1,1~0,1~0,3~0
Middlesbrough,0~2,2~5,1~0,1~0,2~0,1~1,1~1,1~1,2~2,2~2,1~0,3~1,3~1, ,1~0,2~2,3~0,5~1,3~0,2~2
Newcastle United,1~1,1~1,1~0,5~1,1~0,2~1,2~1,2~1,2~0,0~2,1~0,2~0,2~6,2~0, ,2~1,2~0,2~1,2~1,4~0
Southampton,3~2,2~2,2~0,1~1,0~0,0~0,1~1,1~0,4~2,3~2,0~1,2~0,0~2,0~0,1~1, ,2~1,1~0,1~0,1~1
Sunderland,0~4,1~0,0~1,0~0,0~2,1~3,1~2,0~1,0~3,1~2,2~1,0~3,1~1,1~3,0~1,0~1, ,2~0,1~2,0~1
Tottenham Hotspur,1~1,1~0,2~1,0~4,3~1,2~2,0~0,4~3,1~1,2~0,2~3,0~2,0~2,0~3,0~1,2~1,4~1, ,3~1,3~2
West Bromwich Albion,1~2,0~0,1~1,0~2,1~1,0~1,0~2,1~2,1~0,1~3,0~6,1~2,1~3,1~0,2~2,1~0,2~2,2~3, ,1~2
West Ham United,2~2,2~2,1~2,2~1,1~1,0~2,1~0,0~1,1~1,3~4,0~3,0~0,1~1,1~0,2~2,0~1,2~0,2~0,0~1, 
