Home \ Away,ARS,AST,BIR,BLB,BOL,CHA,CHE,EVE,FUL,LEE,LEI,LIV,MCI,MUN,MID,NEW,POR,SOU,TOT,WOL
Arsenal,,2~0,0~0,1~0,2~1,2~1,2~1,2~1,0~0,5~0,2~1,4~2,2~1,1~1,4~1,3~2,1~1,2~0,2~1,3~0
Aston Villa,0~2,,2~2,0~2,1~1,2~1,3~2,0~0,3~0,2~0,3~1,0~0,1~1,0~2,0~2,0~0,2~1,1~0,1~0,3~2
Birmingham,0~3,0~0,,0~4,2~0,1~2,0~0,3~0,2~2,4~1,0~1,0~3,2~1,1~2,3~1,1~1,2~0,2~1,1~0,2~2
Blackburn Rovers,0~2,0~2,1~1,,3~4,0~1,2~3,2~1,0~2,1~2,1~0,1~3,2~3,1~0,2~2,1~1,1~2,1~1,1~0,5~1
Bolton Wanderers,1~1,2~2,0~1,2~2,,0~0,0~2,2~0,0~2,4~1,2~2,2~2,1~3,1~2,2~0,1~0,1~0,0~0,2~0,1~1
Charlton Athletic,1~1,1~2,1~1,3~2,1~2,,4~2,2~2,3~1,0~1,2~2,3~2,0~3,0~2,1~0,0~0,1~1,2~1,2~4,2~0
Chelsea,1~2,1~0,0~0,2~2,1~2,1~0,,0~0,2~1,1~0,2~1,0~1,1~0,1~0,0~0,5~0,3~0,4~0,4~2,5~2
Everton,1~1,2~0,1~0,0~1,1~2,0~1,0~1,,3~1,4~0,3~2,0~3,0~0,3~4,1~1,2~2,1~0,0~0,3~1,2~0
Fulham,0~1,1~2,0~0,3~4,2~1,2~0,0~1,2~1,,2~0,2~0,1~2,2~2,1~1,3~2,2~3,2~0,2~0,2~1,0~0
Leeds United,1~4,0~0,0~2,2~1,0~2,3~3,1~1,1~1,3~2,,3~2,2~2,2~1,0~1,0~3,2~2,1~2,0~0,0~1,4~1
Leicester City,1~1,0~5,0~2,2~0,1~1,1~1,0~4,1~1,0~2,4~0,,0~0,1~1,1~4,0~0,1~1,3~1,2~2,1~2,0~0
Liverpool,1~2,1~0,3~1,4~0,3~1,0~1,1~2,0~0,0~0,3~1,2~1,,2~1,1~2,2~0,1~1,3~0,1~2,0~0,1~0
Manchester City,1~2,4~1,0~0,1~1,6~2,1~1,0~1,5~1,0~0,1~1,0~3,2~2,,4~1,0~1,1~0,1~1,1~3,0~0,3~3
Manchester United,0~0,4~0,3~0,2~1,4~0,2~0,1~1,3~2,1~3,1~1,1~0,0~1,3~1,,2~3,0~0,3~0,3~2,3~0,1~0
Middlesbrough,0~4,1~2,5~3,0~1,2~0,0~0,1~2,1~0,2~1,2~3,3~3,0~0,2~1,0~1,,0~1,0~0,3~1,1~0,2~0
Newcastle United,0~0,1~1,0~1,0~1,0~0,3~1,2~1,4~2,3~1,1~0,3~1,1~1,3~0,1~2,2~1,,3~0,1~0,4~0,1~1
Portsmouth,1~1,2~1,3~1,1~2,4~0,1~2,0~2,1~2,1~1,6~1,0~2,1~0,4~2,1~0,5~1,1~1,,1~0,2~0,0~0
Southampton,0~1,1~1,0~0,2~0,1~2,3~2,0~1,3~3,0~0,2~1,0~0,2~0,0~2,1~0,0~1,3~3,3~0,,1~0,2~0
Tottenham Hotspur,2~2,2~1,4~1,1~0,0~1,0~1,0~1,3~0,0~3,2~1,4~4,2~1,1~1,1~2,0~0,1~0,4~3,1~3,,5~2
Wolverhampton Wanderers,1~3,0~4,1~1,2~2,1~2,0~4,0~5,2~1,2~1,3~1,4~3,1~1,1~0,1~0,2~0,1~1,0~0,1~4,0~2,
