Home \ Away,ARS,AST,BIR,BLB,BOL,CHA,CHE,CRY,EVE,FUL,LIV,MCI,MUN,MID,NEW,NWC,POR,SOU,TOT,WBA
Arsenal,,3~1,3~0,3~0,2~2,4~0,2~2,5~1,7~0,2~0,3~1,1~1,2~4,5~3,1~0,4~1,3~0,2~2,1~0,1~1
Aston Villa,1~3,,1~2,1~0,1~1,0~0,0~0,1~1,1~3,2~0,1~1,1~2,0~1,2~0,4~2,3~0,3~0,2~0,1~0,1~1
Birmingham City,2~1,2~0,,2~1,1~2,1~1,0~1,0~1,0~1,1~2,2~0,1~0,0~0,2~0,2~2,1~1,0~0,2~1,1~1,4~0
Blackburn Rovers,0~1,2~2,3~3,,0~1,1~0,0~1,1~0,0~0,1~3,2~2,0~0,1~1,0~4,2~2,3~0,1~0,3~0,0~1,1~1
Bolton Wanderers,1~0,1~2,1~1,0~1,,4~1,0~2,1~0,3~2,3~1,1~0,0~1,2~2,0~0,2~1,1~0,0~1,1~1,3~1,1~1
Charlton Athletic,1~3,3~0,3~1,1~0,1~2,,0~4,2~2,2~0,2~1,1~2,2~2,0~4,1~2,1~1,4~0,2~1,0~0,2~0,1~4
Chelsea,0~0,1~0,1~1,4~0,2~2,1~0,,4~1,1~0,3~1,1~0,0~0,1~0,2~0,4~0,4~0,3~0,2~1,0~0,1~0
Crystal Palace,1~1,2~0,2~0,0~0,0~1,0~1,0~2,,1~3,2~0,1~0,1~2,0~0,0~1,0~2,3~3,0~1,2~2,3~0,3~0
Everton,1~4,1~1,1~1,0~1,3~2,0~1,0~1,4~0,,1~0,1~0,2~1,1~0,1~0,2~0,1~0,2~1,1~0,0~1,2~1
Fulham,0~3,1~1,2~3,0~2,2~0,0~0,1~4,3~1,2~0,,2~4,1~1,1~1,0~2,1~3,6~0,3~1,1~0,2~0,1~0
Liverpool,2~1,2~1,0~1,0~0,1~0,2~0,0~1,3~2,2~1,3~1,,2~1,0~1,1~1,3~1,3~0,1~1,1~0,2~2,3~0
Manchester City,0~1,2~0,3~0,1~1,0~1,4~0,1~0,3~1,0~1,1~1,1~0,,0~2,1~1,1~1,1~1,2~0,2~1,0~1,1~1
Manchester United,2~0,3~1,2~0,0~0,2~0,2~0,1~3,5~2,0~0,1~0,2~1,0~0,,1~1,2~1,2~1,2~1,3~0,0~0,1~1
Middlesbrough,0~1,3~0,2~1,1~0,1~1,2~2,0~1,2~1,1~1,1~1,2~0,3~2,0~2,,2~2,2~0,1~1,1~3,1~0,4~0
Newcastle United,0~1,0~3,2~1,3~0,2~1,1~1,1~1,0~0,1~1,1~4,1~0,4~3,1~3,0~0,,2~2,1~1,2~1,0~1,3~1
Norwich City,1~4,0~0,1~0,1~1,3~2,1~0,1~3,1~1,2~3,0~1,1~2,2~3,2~0,4~4,2~1,,2~2,2~1,0~2,3~2
Portsmouth,0~1,1~2,1~1,0~1,1~1,4~2,0~2,3~1,0~1,4~3,1~2,1~3,2~0,2~1,1~1,1~1,,4~1,1~0,3~2
Southampton,1~1,2~3,0~0,3~2,1~2,0~0,1~3,2~2,2~2,3~3,2~0,0~0,1~2,2~2,1~2,4~3,2~1,,1~0,2~2
Tottenham Hotspur,4~5,5~1,1~0,0~0,1~2,2~3,0~2,1~1,5~2,2~0,1~1,2~1,0~1,2~0,1~0,0~0,3~1,5~1,,1~1
West Bromwich Albion,0~2,1~1,2~0,1~1,2~1,0~1,1~4,2~2,1~0,1~1,0~5,2~0,0~3,1~2,0~0,0~0,2~0,0~0,1~1,
