Home \ Away,ARS,AST,BIR,BLB,BOL,CHA,CHE,EVE,FUL,LIV,MCI,MUN,MID,NEW,POR,SUN,TOT,WBA,WHU,WIG
Arsenal,,5~0,1~0,3~0,1~1,3~0,0~2,2~0,4~1,2~1,1~0,0~0,7~0,2~0,4~0,3~1,1~1,3~1,2~3,4~2
Aston Villa,0~0,,3~1,1~0,2~2,1~0,1~1,4~0,0~0,0~2,0~1,0~2,2~3,1~2,1~0,2~1,1~1,0~0,1~2,0~2
Birmingham City,0~2,0~1,,2~1,1~0,0~1,0~0,0~1,1~0,2~2,1~2,2~2,0~3,0~0,5~0,1~0,0~2,1~1,1~2,2~0
Blackburn Rovers,1~0,2~0,2~0,,0~0,4~1,1~0,0~2,2~1,0~1,2~0,4~3,3~2,0~3,2~1,2~0,0~0,2~0,3~2,1~1
Bolton Wanderers,2~0,1~1,1~0,0~0,,4~1,0~2,0~1,2~1,2~2,2~0,1~2,1~1,2~0,1~0,2~0,1~0,2~0,4~1,1~1
Charlton Athletic,0~1,0~0,2~0,0~2,0~1,,0~2,0~0,1~1,2~0,2~5,1~3,2~1,3~1,2~1,2~0,2~3,0~0,2~0,1~0
Chelsea,1~0,2~1,2~0,4~2,5~1,1~1,,3~0,3~2,2~0,2~0,3~0,1~0,3~0,2~0,2~0,2~1,4~0,4~1,1~0
Everton,1~0,4~1,0~0,1~0,0~4,3~1,1~1,,3~1,1~3,1~0,0~2,1~0,1~0,0~1,2~2,0~1,2~2,1~2,0~1
Fulham,0~4,3~3,0~0,2~1,2~1,2~1,1~0,1~0,,2~0,2~1,2~3,1~0,1~0,1~3,2~1,1~0,6~1,1~2,1~0
Liverpool,1~0,3~1,1~1,1~0,1~0,0~0,1~4,3~1,5~1,,1~0,0~0,2~0,2~0,3~0,1~0,1~0,1~0,2~0,3~0
Manchester City,1~3,3~1,4~1,0~0,0~1,3~2,0~1,2~0,1~2,0~1,,3~1,0~1,3~0,2~1,2~1,0~2,0~0,2~1,0~1
Manchester United,2~0,1~0,3~0,1~2,4~1,4~0,1~0,1~1,4~2,1~0,1~1,,0~0,2~0,3~0,0~0,1~1,3~0,1~0,4~0
Middlesbrough,2~1,0~4,1~0,0~2,4~3,0~3,3~0,0~1,3~2,0~0,0~0,4~1,,1~2,1~1,0~2,3~3,2~2,2~0,2~3
Newcastle United,1~0,1~1,1~0,0~1,3~1,0~0,1~0,2~0,1~1,1~3,1~0,0~2,2~2,,2~0,3~2,3~1,3~0,0~0,3~1
Portsmouth,1~1,1~1,1~1,2~2,1~1,1~2,0~2,0~1,1~0,1~3,2~1,1~3,1~0,0~0,,2~1,0~2,1~0,1~1,0~2
Sunderland,0~3,1~3,0~1,0~1,0~0,1~3,1~2,0~1,2~1,0~2,1~2,1~3,0~3,1~4,1~4,,1~1,1~1,1~1,0~1
Tottenham Hotspur,1~1,0~0,2~0,3~2,1~0,3~1,0~2,2~0,1~0,0~0,2~1,1~2,2~0,2~0,3~1,3~2,,2~1,1~1,2~2
West Bromwich Albion,2~1,1~2,2~3,2~0,0~0,1~2,1~2,4~0,0~0,0~2,2~0,1~2,0~2,0~3,2~1,0~1,2~0,,0~1,1~2
West Ham United,0~0,4~0,3~0,3~1,1~2,0~0,1~3,2~2,2~1,1~2,1~0,1~2,2~1,2~4,2~4,2~0,2~1,1~0,,0~2
Wigan Athletic,2~3,3~2,1~1,0~3,2~1,3~0,0~1,1~1,1~0,0~1,4~3,1~2,1~1,1~0,1~2,1~0,1~2,0~1,1~2,
