Home \ Away,ARS,AST,BLB,BOL,CHA,CHE,EVE,FUL,LIV,MCI,MUN,MID,NEW,POR,REA,SHU,TOT,WAT,WHU,WIG
Arsenal,,1~1,6~2,2~1,4~0,1~1,1~1,3~1,3~0,3~1,2~1,1~1,1~1,2~2,2~1,3~0,3~0,3~0,0~1,2~1
Aston Villa,0~1,,2~0,0~1,2~0,0~0,1~1,1~1,0~0,1~3,0~3,1~1,2~0,0~0,2~1,3~0,1~1,2~0,1~0,1~1
Blackburn Rovers,0~2,1~2,,0~1,4~1,0~2,1~1,2~0,1~0,4~2,0~1,2~1,1~3,3~0,3~3,2~1,1~1,3~1,1~2,2~1
Bolton Wanderers,3~1,2~2,1~2,,1~1,0~1,1~1,2~1,2~0,0~0,0~4,0~0,2~1,3~2,1~3,1~0,2~0,1~0,4~0,0~1
Charlton Athletic,1~2,2~1,1~0,2~0,,0~1,1~1,2~2,0~3,1~0,0~3,1~3,2~0,0~1,0~0,1~1,0~2,0~0,4~0,1~0
Chelsea,1~1,1~1,3~0,2~2,2~1,,1~1,2~2,1~0,3~0,0~0,3~0,1~0,2~1,2~2,3~0,1~0,4~0,1~0,4~0
Everton,1~0,0~1,1~0,1~0,2~1,2~3,,4~1,3~0,1~1,2~4,0~0,3~0,3~0,1~1,2~0,1~2,2~1,2~0,2~2
Fulham,2~1,1~1,1~1,1~1,2~1,0~2,1~0,,1~0,1~3,1~2,2~1,2~1,1~1,0~1,1~0,1~1,0~0,0~0,0~1
Liverpool,4~1,3~1,1~1,3~0,2~2,2~0,0~0,4~0,,1~0,0~1,2~0,2~0,0~0,2~0,4~0,3~0,2~0,2~1,2~0
Manchester City,1~0,0~2,0~3,0~2,0~0,0~1,2~1,3~1,0~0,,0~1,1~0,0~0,0~0,0~2,0~0,1~2,0~0,2~0,0~1
Manchester United,0~1,3~1,4~1,4~1,2~0,1~1,3~0,5~1,2~0,3~1,,1~1,2~0,3~0,3~2,2~0,1~0,4~0,0~1,3~1
Middlesbrough,1~1,1~3,0~1,5~1,2~0,2~1,2~1,3~1,0~0,0~2,1~2,,1~0,0~4,2~1,3~1,2~3,4~1,1~0,1~1
Newcastle United,0~0,3~1,0~2,1~2,0~0,0~0,1~1,1~2,2~1,0~1,2~2,0~0,,1~0,3~2,0~1,3~1,2~1,2~2,2~1
Portsmouth,0~0,2~2,3~0,0~1,0~1,0~2,2~0,1~1,2~1,2~1,2~1,0~0,2~1,,3~1,3~1,1~1,2~1,2~0,1~0
Reading,0~4,2~0,1~2,1~0,2~0,0~1,0~2,1~0,1~2,1~0,1~1,3~2,1~0,0~0,,3~1,3~1,0~2,6~0,3~2
Sheffield United,1~0,2~2,0~0,2~2,2~1,0~2,1~1,2~0,1~1,0~1,1~2,2~1,1~2,1~1,1~2,,2~1,1~0,3~0,1~2
Tottenham Hotspur,2~2,2~1,1~1,4~1,5~1,2~1,0~2,0~0,0~1,2~1,0~4,2~1,2~3,2~1,1~0,2~0,,3~1,1~0,3~1
Watford,1~2,0~0,2~1,0~1,2~2,0~1,0~3,3~3,0~3,1~1,1~2,2~0,1~1,4~2,0~0,0~1,0~0,,1~1,1~1
West Ham United,1~0,1~1,2~1,3~1,3~1,1~4,1~0,3~3,1~2,0~1,1~0,2~0,0~2,1~2,0~1,1~0,3~4,0~1,,0~2
Wigan Athletic,0~1,0~0,0~3,1~3,3~2,2~3,0~2,0~0,0~4,4~0,1~3,0~1,1~0,1~0,1~0,0~1,3~3,1~1,0~3,
