Home \ Away,ARS,AST,BIR,BLB,BOL,CHE,DER,EVE,FUL,LIV,MCI,MUN,MID,NEW,POR,REA,SUN,TOT,WHU,WIG
Arsenal,,1~1,1~1,2~0,2~0,1~0,5~0,1~0,2~1,1~1,1~0,2~2,1~1,3~0,3~1,2~0,3~2,2~1,2~0,2~0
Aston Villa,1~2,,5~1,1~1,4~0,2~0,2~0,2~0,2~1,1~2,1~1,1~4,1~1,4~1,1~3,3~1,0~1,2~1,1~0,0~2
Birmingham,2~2,1~2,,4~1,1~0,0~1,1~1,1~1,1~1,2~2,3~1,0~1,3~0,1~1,0~2,1~1,2~2,4~1,0~1,3~2
Blackburn Rovers,1~1,0~4,2~1,,4~1,0~1,3~1,0~0,1~1,0~0,1~0,1~1,1~1,3~1,0~1,4~2,1~0,1~1,0~1,3~1
Bolton Wanderers,2~3,1~1,3~0,1~2,,0~1,1~0,1~2,0~0,1~3,0~0,1~0,0~0,1~3,0~1,3~0,2~0,1~1,1~0,4~1
Chelsea,2~1,4~4,3~2,0~0,1~1,,6~1,1~1,0~0,0~0,6~0,2~1,1~0,2~1,1~0,1~0,2~0,2~0,1~0,1~1
Derby County,2~6,0~6,1~2,1~2,1~1,0~2,,0~2,2~2,1~2,1~1,0~1,0~1,1~0,2~2,0~4,0~0,0~3,0~5,0~1
Everton,1~4,2~2,3~1,1~1,2~0,0~1,1~0,,3~0,1~2,1~0,0~1,2~0,3~1,3~1,1~0,7~1,0~0,1~1,2~1
Fulham,0~3,2~1,2~0,2~2,2~1,1~2,0~0,1~0,,0~2,3~3,0~3,1~2,0~1,0~2,3~1,1~3,3~3,0~1,1~1
Liverpool,1~1,2~2,0~0,3~1,4~0,1~1,6~0,1~0,2~0,,1~0,0~1,3~2,3~0,4~1,2~1,3~0,2~2,4~0,1~1
Manchester City,1~3,1~0,1~0,2~2,4~2,0~2,1~0,0~2,2~3,0~0,,1~0,3~1,3~1,3~1,2~1,1~0,2~1,1~1,0~0
Manchester United,2~1,4~0,1~0,2~0,2~0,2~0,4~1,2~1,2~0,3~0,1~2,,4~1,6~0,2~0,0~0,1~0,1~0,4~1,4~0
Middlesbrough,2~1,0~3,2~0,1~2,0~1,0~2,1~0,0~2,1~0,1~1,8~1,2~2,,2~2,2~0,0~1,2~2,1~1,1~2,1~0
Newcastle United,1~1,0~0,2~1,0~1,0~0,0~2,2~2,3~2,2~0,0~3,0~2,1~5,1~1,,1~4,3~0,2~0,3~1,3~1,1~0
Portsmouth,0~0,2~0,4~2,0~1,3~1,1~1,3~1,0~0,0~1,0~0,0~0,1~1,0~1,0~0,,7~4,1~0,0~1,0~0,2~0
Reading,1~3,1~2,2~1,0~0,0~2,1~2,1~0,1~0,0~2,3~1,2~0,0~2,1~1,2~1,0~2,,2~1,0~1,0~3,2~1
Sunderland,0~1,1~1,2~0,1~2,3~1,0~1,1~0,0~1,1~1,0~2,1~2,0~4,3~2,1~1,2~0,2~1,,1~0,2~1,2~0
Tottenham Hotspur,1~3,4~4,2~3,1~2,1~1,4~4,4~0,1~3,5~1,0~2,2~1,1~1,1~1,1~4,2~0,6~4,2~0,,4~0,4~0
West Ham United,0~1,2~2,1~1,2~1,1~1,0~4,2~1,0~2,2~1,1~0,0~2,2~1,3~0,2~2,0~1,1~1,3~1,1~1,,1~1
Wigan Athletic,0~0,1~2,2~0,5~3,1~0,0~2,2~0,1~2,1~1,0~1,1~1,0~2,1~0,1~0,0~2,0~0,3~0,1~1,1~0,
