Home \ Away,ARS,AST,BLB,BOL,CHE,EVE,FUL,HUL,LIV,MCI,MUN,MID,NEW,POR,STK,SUN,TOT,WBA,WHU,WIG
Arsenal,,0~2,4~0,1~0,1~4,3~1,0~0,1~2,1~1,2~0,2~1,2~0,3~0,1~0,4~1,0~0,4~4,1~0,0~0,1~0
Aston Villa,2~2,,3~2,4~2,0~1,3~3,0~0,1~0,0~0,4~2,0~0,1~2,1~0,0~0,2~2,2~1,1~2,2~1,1~1,0~0
Blackburn Rovers,0~4,0~2,,2~2,0~2,0~0,1~0,1~1,1~3,2~2,0~2,1~1,3~0,2~0,3~0,1~2,2~1,0~0,1~1,2~0
Bolton Wanderers,1~3,1~1,0~0,,0~2,0~1,1~3,1~1,0~2,2~0,0~1,4~1,1~0,2~1,3~1,0~0,3~2,0~0,2~1,0~1
Chelsea,1~2,2~0,2~0,4~3,,0~0,3~1,0~0,0~1,1~0,1~1,2~0,0~0,4~0,2~1,5~0,1~1,2~0,1~1,2~1
Everton,1~1,2~3,2~3,3~0,0~0,,1~0,2~0,0~2,1~2,1~1,1~1,2~2,0~3,3~1,3~0,0~0,2~0,3~1,4~0
Fulham,1~0,3~1,1~2,2~1,2~2,0~2,,0~1,0~1,1~1,2~0,3~0,2~1,3~1,1~0,0~0,2~1,2~0,1~2,2~0
Hull City,1~3,0~1,1~2,0~1,0~3,2~2,2~1,,1~3,2~2,0~1,2~1,1~1,0~0,1~2,1~4,1~2,2~2,1~0,0~5
Liverpool,4~4,5~0,4~0,3~0,2~0,1~1,0~0,2~2,,1~1,2~1,2~1,3~0,1~0,0~0,2~0,3~1,3~0,0~0,3~2
Manchester City,3~0,2~0,3~1,1~0,1~3,0~1,1~3,5~1,2~3,,0~1,1~0,2~1,6~0,3~0,1~0,1~2,4~2,3~0,1~0
Manchester United,0~0,3~2,2~1,2~0,3~0,1~0,3~0,4~3,1~4,2~0,,1~0,1~1,2~0,5~0,1~0,5~2,4~0,2~0,1~0
Middlesbrough,1~1,1~1,0~0,1~3,0~5,0~1,0~0,3~1,2~0,2~0,0~2,,0~0,1~1,2~1,1~1,2~1,0~1,1~1,0~0
Newcastle United,1~3,2~0,1~2,1~0,0~2,0~0,0~1,1~2,1~5,2~2,1~2,3~1,,0~0,2~2,1~1,2~1,2~1,2~2,2~2
Portsmouth,0~3,0~1,3~2,1~0,0~1,2~1,1~1,2~2,2~3,2~0,0~1,2~1,0~3,,2~1,3~1,2~0,2~2,1~4,1~2
Stoke City,2~1,3~2,1~0,2~0,0~2,2~3,0~0,1~1,0~0,1~0,0~1,1~0,1~1,2~2,,1~0,2~1,1~0,0~1,2~0
Sunderland,1~1,1~2,0~0,1~4,2~3,0~2,1~0,1~0,0~1,0~3,1~2,2~0,2~1,1~2,2~0,,1~1,4~0,0~1,1~2
Tottenham Hotspur,0~0,1~2,1~0,2~0,1~0,0~1,0~0,0~1,2~1,2~1,0~0,4~0,1~0,1~1,3~1,1~2,,1~0,1~0,0~0
West Bromwich Albion,1~3,1~2,2~2,1~1,0~3,1~2,1~0,0~3,0~2,2~1,0~5,3~0,2~3,1~1,0~2,3~0,2~0,,3~2,3~1
West Ham United,0~2,0~1,4~1,1~3,0~1,1~3,3~1,2~0,0~3,1~0,0~1,2~1,3~1,0~0,2~1,2~0,0~2,0~0,,2~1
Wigan Athletic,1~4,0~4,3~0,0~0,0~1,1~0,0~0,1~0,1~1,2~1,1~2,0~1,2~1,1~0,0~0,1~1,1~0,2~1,0~1,
