Home \ Away[1],ARS,AST,BIR,BLB,BOL,BUR,CHE,EVE,FUL,HUL,LIV,MCI,MUN,POR,STK,SUN,TOT,WHU,WIG,WOL
Arsenal,,3~0,3~1,6~2,4~2,3~1,0~3,2~2,4~0,3~0,1~0,0~0,1~3,4~1,2~0,2~0,3~0,2~0,4~0,1~0
Aston Villa,0~0,,1~0,0~1,5~1,5~2,2~1,2~2,2~0,3~0,0~1,1~1,1~1,2~0,1~0,1~1,1~1,0~0,0~2,2~2
Birmingham City,1~1,0~1,,2~1,1~2,2~1,0~0,2~2,1~0,0~0,1~1,0~0,1~1,1~0,0~0,2~1,1~1,1~0,1~0,2~1
Blackburn Rovers,2~1,2~1,2~1,,3~0,3~2,1~1,2~3,2~0,1~0,0~0,0~2,0~0,3~1,0~0,2~2,0~2,0~0,2~1,3~1
Bolton Wanderers,0~2,0~1,2~1,0~2,,1~0,0~4,3~2,0~0,2~2,2~3,3~3,0~4,2~2,1~1,0~1,2~2,3~1,4~0,1~0
Burnley,1~1,1~1,2~1,0~1,1~1,,1~2,1~0,1~1,2~0,0~4,1~6,1~0,1~2,1~1,3~1,4~2,2~1,1~3,1~2
Chelsea,2~0,7~1,3~0,5~0,1~0,3~0,,3~3,2~1,2~1,2~0,2~4,1~0,2~1,7~0,7~2,3~0,4~1,8~0,4~0
Everton,1~6,1~1,1~1,3~0,2~0,2~0,2~1,,2~1,5~1,0~2,2~0,3~1,1~0,1~1,2~0,2~2,2~2,2~1,1~1
Fulham,0~1,0~2,2~1,3~0,1~1,3~0,0~2,2~1,,2~0,3~1,1~2,3~0,1~0,0~1,1~0,0~0,3~2,2~1,0~0
Hull City,1~2,0~2,0~1,0~0,1~0,1~4,1~1,3~2,2~0,,0~0,2~1,1~3,0~0,2~1,0~1,1~5,3~3,2~1,2~2
Liverpool,1~2,1~3,2~2,2~1,2~0,4~0,0~2,1~0,0~0,6~1,,2~2,2~0,4~1,4~0,3~0,2~0,3~0,2~1,2~0
Manchester City,4~2,3~1,5~1,4~1,2~0,3~3,2~1,0~2,2~2,1~1,0~0,,0~1,2~0,2~0,4~3,0~1,3~1,3~0,1~0
Manchester United,2~1,0~1,1~0,2~0,2~1,3~0,1~2,3~0,3~0,4~0,2~1,4~3,,5~0,4~0,2~2,3~1,3~0,5~0,3~0
Portsmouth,1~4,1~2,1~2,0~0,2~3,2~0,0~5,0~1,0~1,3~2,2~0,0~1,1~4,,1~2,1~1,1~2,1~1,4~0,3~1
Stoke City,1~3,0~0,0~1,3~0,1~2,2~0,1~2,0~0,3~2,2~0,1~1,1~1,0~2,1~0,,1~0,1~2,2~1,2~2,2~2
Sunderland,1~0,0~2,3~1,2~1,4~0,2~1,1~3,1~1,0~0,4~1,1~0,1~1,0~1,1~1,0~0,,3~1,2~2,1~1,5~2
Tottenham Hotspur,2~1,0~0,2~1,3~1,1~0,5~0,2~1,2~1,2~0,0~0,2~1,3~0,1~3,2~0,0~1,2~0,,2~0,9~1,0~1
West Ham United,2~2,2~1,2~0,0~0,1~2,5~3,1~1,1~2,2~2,3~0,2~3,1~1,0~4,2~0,0~1,1~0,1~2,,3~2,1~3
Wigan Athletic,3~2,1~2,2~3,1~1,0~0,1~0,3~1,0~1,1~1,2~2,1~0,1~1,0~5,0~0,1~1,1~0,0~3,1~0,,0~1
Wolverhampton Wanderers,1~4,1~1,0~1,1~1,2~1,2~0,0~2,0~0,2~1,1~1,0~0,0~3,0~1,0~1,0~0,2~1,1~0,0~2,0~2,
