Home \ Away,ARS,AST,BLB,BOL,CHE,EVE,FUL,LIV,MCI,MUN,NEW,NOR,QPR,STK,SUN,SWA,TOT,WBA,WIG,WOL
Arsenal,,3~0,7~1,3~0,0~0,1~0,1~1,0~2,1~0,1~2,2~1,3~3,1~0,3~1,2~1,1~0,5~2,3~0,1~2,1~1
Aston Villa,1~2,,3~1,1~2,2~4,1~1,1~0,0~2,0~1,0~1,1~1,3~2,2~2,1~1,0~0,0~2,1~1,1~2,2~0,0~0
Blackburn Rovers,4~3,1~1,,1~2,0~1,0~1,3~1,2~3,0~4,0~2,0~2,2~0,3~2,1~2,2~0,4~2,1~2,1~2,0~1,1~2
Bolton Wanderers,0~0,1~2,2~1,,1~5,0~2,0~3,3~1,2~3,0~5,0~2,1~2,2~1,5~0,0~2,1~1,1~4,2~2,1~2,1~1
Chelsea,3~5,1~3,2~1,3~0,,3~1,1~1,1~2,2~1,3~3,0~2,3~1,6~1,1~0,1~0,4~1,0~0,2~1,2~1,3~0
Everton,0~1,2~2,1~1,1~2,2~0,,4~0,0~2,1~0,0~1,3~1,1~1,0~1,0~1,4~0,1~0,1~0,2~0,3~1,2~1
Fulham,2~1,0~0,1~1,2~0,1~1,1~3,,1~0,2~2,0~5,5~2,2~1,6~0,2~1,2~1,0~3,1~3,1~1,2~1,5~0
Liverpool,1~2,1~1,1~1,3~1,4~1,3~0,0~1,,1~1,1~1,3~1,1~1,1~0,0~0,1~1,0~0,0~0,0~1,1~2,2~1
Manchester City,1~0,4~1,3~0,2~0,2~1,2~0,3~0,3~0,,1~0,3~1,5~1,3~2,3~0,3~3,4~0,3~2,4~0,3~0,3~1
Manchester United,8~2,4~0,2~3,3~0,3~1,4~4,1~0,2~1,1~6,,1~1,2~0,2~0,2~0,1~0,2~0,3~0,2~0,5~0,4~1
Newcastle United,0~0,2~1,3~1,2~0,0~3,2~1,2~1,2~0,0~2,3~0,,1~0,1~0,3~0,1~1,0~0,2~2,2~3,1~0,2~2
Norwich City,1~2,2~0,3~3,2~0,0~0,2~2,1~1,0~3,1~6,1~2,4~2,,2~1,1~1,2~1,3~1,0~2,0~1,1~1,2~1
Queens Park Rangers,2~1,1~1,1~1,0~4,1~0,1~1,0~1,3~2,2~3,0~2,0~0,1~2,,1~0,2~3,3~0,1~0,1~1,3~1,1~2
Stoke City,1~1,0~0,3~1,2~2,0~0,1~1,2~0,1~0,1~1,1~1,1~3,1~0,2~3,,0~1,2~0,2~1,1~2,2~2,2~1
Sunderland,1~2,2~2,2~1,2~2,1~2,1~1,0~0,1~0,1~0,0~1,0~1,3~0,3~1,4~0,,2~0,0~0,2~2,1~2,0~0
Swansea City,3~2,0~0,3~0,3~1,1~1,0~2,2~0,1~0,1~0,0~1,0~2,2~3,1~1,2~0,0~0,,1~1,3~0,0~0,4~4
Tottenham Hotspur,2~1,2~0,2~0,3~0,1~1,2~0,2~0,4~0,1~5,1~3,5~0,1~2,3~1,1~1,1~0,3~1,,1~0,3~1,1~1
West Bromwich Albion,2~3,0~0,3~0,2~1,1~0,0~1,0~0,0~2,0~0,1~2,1~3,1~2,1~0,0~1,4~0,1~2,1~3,,1~2,2~0
Wigan Athletic,0~4,0~0,3~3,1~3,1~1,1~1,0~2,0~0,0~1,1~0,4~0,1~1,2~0,2~0,1~4,0~2,1~2,1~1,,3~2
Wolverhampton Wanderers,0~3,2~3,0~2,2~3,1~2,0~0,2~0,0~3,0~2,0~5,1~2,2~2,0~3,1~2,2~1,2~2,0~2,1~5,3~1,
