Home \ Away,ARS,BOU,BHA,BUR,CHE,CRY,EVE,HUD,LEI,LIV,MCI,MUN,NEW,SOU,STK,SWA,TOT,WAT,WBA,WHU
Arsenal,,3~0,2~0,5~0,2~2,4~1,5~1,5~0,4~3,3~3,0~3,1~3,1~0,3~2,3~0,2~1,2~0,3~0,2~0,4~1
Bournemouth,2~1,,2~1,1~2,0~1,2~2,2~1,4~0,0~0,0~4,1~2,0~2,2~2,1~1,2~1,1~0,1~4,0~2,2~1,3~3
Brighton & Hove Albion,2~1,2~2,,0~0,0~4,0~0,1~1,1~1,0~2,1~5,0~2,1~0,1~0,1~1,2~2,4~1,1~1,1~0,3~1,3~1
Burnley,0~1,1~2,0~0,,1~2,1~0,2~1,0~0,2~1,1~2,1~1,0~1,1~0,1~1,1~0,2~0,0~3,1~0,0~1,1~1
Chelsea,0~0,0~3,2~0,2~3,,2~1,2~0,1~1,0~0,1~0,0~1,1~0,3~1,1~0,5~0,1~0,1~3,4~2,3~0,1~1
Crystal Palace,2~3,2~2,3~2,1~0,2~1,,2~2,0~3,5~0,1~2,0~0,2~3,1~1,0~1,2~1,0~2,0~1,2~1,2~0,2~2
Everton,2~5,2~1,2~0,0~1,0~0,3~1,,2~0,2~1,0~0,1~3,0~2,1~0,1~1,1~0,3~1,0~3,3~2,1~1,4~0
Huddersfield Town,0~1,4~1,2~0,0~0,1~3,0~2,0~2,,1~1,0~3,1~2,2~1,1~0,0~0,1~1,0~0,0~4,1~0,1~0,1~4
Leicester City,3~1,1~1,2~0,1~0,1~2,0~3,2~0,3~0,,2~3,0~2,2~2,1~2,0~0,1~1,1~1,2~1,2~0,1~1,0~2
Liverpool,4~0,3~0,4~0,1~1,1~1,1~0,1~1,3~0,2~1,,4~3,0~0,2~0,3~0,0~0,5~0,2~2,5~0,0~0,4~1
Manchester City,3~1,4~0,3~1,3~0,1~0,5~0,1~1,0~0,5~1,5~0,,2~3,3~1,2~1,7~2,5~0,4~1,3~1,3~0,2~1
Manchester United,2~1,1~0,1~0,2~2,2~1,4~0,4~0,2~0,2~0,2~1,1~2,,4~1,0~0,3~0,2~0,1~0,1~0,0~1,4~0
Newcastle United,2~1,0~1,0~0,1~1,3~0,1~0,0~1,1~0,2~3,1~1,0~1,1~0,,3~0,2~1,1~1,0~2,0~3,0~1,3~0
Southampton,1~1,2~1,1~1,0~1,2~3,1~2,4~1,1~1,1~4,0~2,0~1,0~1,2~2,,0~0,0~0,1~1,0~2,1~0,3~2
Stoke City,1~0,1~2,1~1,1~1,0~4,1~2,1~2,2~0,2~2,0~3,0~2,2~2,0~1,2~1,,2~1,1~2,0~0,3~1,0~3
Swansea City,3~1,0~0,0~1,1~0,0~1,1~1,1~1,2~0,1~2,1~0,0~4,0~4,0~1,0~1,1~2,,0~2,1~2,1~0,4~1
Tottenham Hotspur,1~0,1~0,2~0,1~1,1~2,1~0,4~0,2~0,5~4,4~1,1~3,2~0,1~0,5~2,5~1,0~0,,2~0,1~1,1~1
Watford,2~1,2~2,0~0,1~2,4~1,0~0,1~0,1~4,2~1,3~3,0~6,2~4,2~1,2~2,0~1,1~2,1~1,,1~0,2~0
West Bromwich Albion,1~1,1~0,2~0,1~2,0~4,0~0,0~0,1~2,1~4,2~2,2~3,1~2,2~2,2~3,1~1,1~1,1~0,2~2,,0~0
West Ham United,0~0,1~1,0~3,0~3,1~0,1~1,3~1,2~0,1~1,1~4,1~4,0~0,2~3,3~0,1~1,1~0,2~3,2~0,2~1,
