Home \ Away,ARS,ASV,BRI,BUR,CHE,CRY,EVE,FUL,LEE,LEI,LIV,MCI,MUN,NEW,SHE,SOU,TOT,WBA,WHU,WOL 
Arsenal ,~,0~3,2~0,0~1,3~1,0~0,0~1,1~1,4~2,0~1,0~3,0~1,0~0,3~0,2~1,1~1,2~1,3~1,2~1,1~2 
Aston Villa ,1~0,~,1~2,0~0,2~1,3~0,0~0,3~1,0~3,1~2,7~2,1~2,1~3,2~0,1~0,3~4,0~2,2~2,1~3,0~0 
Brighton ,0~1,0~0,~,0~0,1~3,1~2,0~0,0~0,2~0,1~2,1~1,3~2,2~3,3~0,1~1,1~2,1~0,1~1,1~1,3~3 
Burnley ,1~1,3~2,1~1,~,0~3,1~0,1~1,1~1,0~4,1~1,0~3,0~2,0~1,1~2,1~0,0~1,0~1,0~0,1~2,2~1 
Chelsea ,0~1,1~1,0~0,2~0,~,4~0,2~0,2~0,3~1,2~1,0~2,1~3,0~0,2~0,4~1,3~3,0~0,2~5,3~0,0~0 
Crystal Palace ,1~3,3~2,1~1,0~3,1~4,~,1~2,0~0,4~1,1~1,0~7,0~2,0~0,0~2,2~0,1~0,1~1,1~0,2~3,1~0 
Everton ,2~1,1~2,4~2,1~2,1~0,1~1,~,0~2,0~1,1~1,2~2,1~3,1~3,0~2,0~1,1~0,2~2,5~2,0~1,1~0 
Fulham ,0~3,0~3,0~0,0~2,0~1,1~2,2~3,~,1~2,0~2,1~1,0~3,1~1,0~2,1~0,0~0,0~1,2~0,0~0,0~1 
Leeds ,0~0,0~1,0~1,1~0,0~0,2~0,1~2,4~3,~,1~4,1~1,1~1,0~0,5~2,2~1,3~0,3~1,3~1,1~2,0~1 
Leicester City ,1~3,0~1,3~0,4~2,2~0,2~1,0~2,1~2,1~3,~,3~1,0~2,2~2,2~4,5~0,2~0,2~4,3~0,0~3,1~0 
Liverpool ,3~1,2~1,0~1,0~1,0~1,2~0,0~2,0~1,4~3,3~0,~,1~4,0~0,1~1,2~1,2~0,2~1,1~1,2~1,4~0 
Manchester City ,1~0,2~0,1~0,5~0,1~2,4~0,5~0,2~0,1~2,2~5,1~1,~,0~2,2~0,1~0,5~2,3~0,1~1,2~1,4~1 
Manchester United ,0~1,2~1,2~1,3~1,0~0,1~3,3~3,1~1,6~2,1~2,2~4,0~0,~,3~1,1~2,9~0,1~6,1~0,1~0,1~0 
Newcastle United ,0~2,1~1,0~3,3~1,0~2,1~2,2~1,1~1,1~2,1~2,0~0,3~4,1~4,~,1~0,3~2,2~2,2~1,3~2,1~1 
Sheffield United ,0~3,1~0,1~0,1~0,1~2,0~2,0~1,1~1,0~1,1~2,0~2,0~1,2~3,1~0,~,0~2,1~3,2~1,0~1,0~2 
Southampton ,1~3,0~1,1~2,3~2,1~1,3~1,2~0,3~1,0~2,1~1,1~0,0~1,2~3,2~0,3~0,~,2~5,2~0,0~0,1~2 
Tottenham ,2~0,1~2,2~1,4~0,0~1,4~1,0~1,1~1,3~0,0~2,1~3,2~0,1~3,1~1,4~0,2~1,~,2~0,3~3,2~0 
West Bromwich ,0~4,0~3,1~0,0~0,3~3,1~5,0~1,2~2,0~5,0~3,1~2,0~5,1~1,0~0,1~0,3~0,0~1,~,1~3,1~1 
West Ham United ,3~3,2~1,2~2,1~0,0~1,1~1,0~1,1~0,2~0,3~2,1~3,1~1,1~3,0~2,3~0,3~0,2~1,2~1,~,4~0 
Wolverhampton ,2~1,0~1,2~1,0~4,2~1,2~0,1~2,1~0,1~0,0~0,0~1,1~3,1~2,1~1,1~0,1~1,1~1,2~3,2~3,~ 
