Home \ Away ,ARS ,AVL ,BRE ,BHA ,BUR ,CHE ,CRY ,EVE ,LEE ,LEI ,LIV ,MCI ,MUN ,NEW ,NOR ,SOU ,TOT ,WAT ,WHU ,WOL 
Arsenal ,~,3~1 ,2~1 ,1~2 ,0~0 ,0~2 ,2~2 ,5~1 ,2~1 ,2~0 ,0~2 ,1~2 ,3~1 ,2~0 ,1~0 ,3~0 ,3~1 ,1~0 ,2~0 ,2~1 
Aston Villa ,0~1 ,~,1~1 ,2~0 ,1~1 ,1~3 ,1~1 ,3~0 ,3~3 ,2~1 ,1~2 ,1~2 ,2~2 ,2~0 ,2~0 ,4~0 ,0~4 ,0~1 ,1~4 ,2~3 
Brentford ,2~0 ,2~1 ,~,0~1 ,2~0 ,0~1 ,0~0 ,1~0 ,1~2 ,1~2 ,3~3 ,0~1 ,1~3 ,0~2 ,1~2 ,3~0 ,0~0 ,2~1 ,2~0 ,1~2 
Brighton & Hove Albion ,0~0 ,0~2 ,2~0 ,~,0~3 ,1~1 ,1~1 ,0~2 ,0~0 ,2~1 ,0~2 ,1~4 ,4~0 ,1~1 ,0~0 ,2~2 ,0~2 ,2~0 ,3~1 ,0~1 
Burnley ,0~1 ,1~3 ,3~1 ,1~2 ,~,0~4 ,3~3 ,3~2 ,1~1 ,0~2 ,0~1 ,0~2 ,1~1 ,1~2 ,0~0 ,2~0 ,1~0 ,0~0 ,0~0 ,1~0 
Chelsea ,2~4 ,3~0 ,1~4 ,1~1 ,1~1 ,~,3~0 ,1~1 ,3~2 ,1~1 ,2~2 ,0~1 ,1~1 ,1~0 ,7~0 ,3~1 ,2~0 ,2~1 ,1~0 ,2~2 
Crystal Palace ,3~0 ,1~2 ,0~0 ,1~1 ,1~1 ,0~1 ,~,3~1 ,0~0 ,2~2 ,1~3 ,0~0 ,1~0 ,1~1 ,3~0 ,2~2 ,3~0 ,1~0 ,2~3 ,2~0 
Everton ,2~1 ,0~1 ,2~3 ,2~3 ,3~1 ,1~0 ,3~2 ,~,3~0 ,1~1 ,1~4 ,0~1 ,1~0 ,1~0 ,2~0 ,3~1 ,0~0 ,2~5 ,0~1 ,0~1 
Leeds United ,1~4 ,0~3 ,2~2 ,1~1 ,3~1 ,0~3 ,1~0 ,2~2 ,~,1~1 ,0~3 ,0~4 ,2~4 ,0~1 ,2~1 ,1~1 ,0~4 ,1~0 ,1~2 ,1~1 
Leicester City ,0~2 ,0~0 ,2~1 ,1~1 ,2~2 ,0~3 ,2~1 ,1~2 ,1~0 ,~,1~0 ,0~1 ,4~2 ,4~0 ,3~0 ,4~1 ,2~3 ,4~2 ,2~2 ,1~0 
Liverpool ,4~0 ,1~0 ,3~0 ,2~2 ,2~0 ,1~1 ,3~0 ,2~0 ,6~0 ,2~0 ,~,2~2 ,4~0 ,3~1 ,3~1 ,4~0 ,1~1 ,2~0 ,1~0 ,3~1 
Manchester City ,5~0 ,3~2 ,2~0 ,3~0 ,2~0 ,1~0 ,0~2 ,3~0 ,7~0 ,6~3 ,2~2 ,~,4~1 ,5~0 ,5~0 ,0~0 ,2~3 ,5~1 ,2~1 ,1~0 
Manchester United ,3~2 ,0~1 ,3~0 ,2~0 ,3~1 ,1~1 ,1~0 ,1~1 ,5~1 ,1~1 ,0~5 ,0~2 ,~,4~1 ,3~2 ,1~1 ,3~2 ,0~0 ,1~0 ,0~1 
Newcastle United ,2~0 ,1~0 ,3~3 ,2~1 ,1~0 ,0~3 ,1~0 ,3~1 ,1~1 ,2~1 ,0~1 ,0~4 ,1~1 ,~,1~1 ,2~2 ,2~3 ,1~1 ,2~4 ,1~0 
Norwich City ,0~5 ,0~2 ,1~3 ,0~0 ,2~0 ,1~3 ,1~1 ,2~1 ,1~2 ,1~2 ,0~3 ,0~4 ,0~1 ,0~3 ,~,2~1 ,0~5 ,1~3 ,0~4 ,0~0 
Southampton ,1~0 ,1~0 ,4~1 ,1~1 ,2~2 ,0~6 ,1~2 ,2~0 ,1~0 ,2~2 ,1~2 ,1~1 ,1~1 ,1~2 ,2~0 ,~,1~1 ,1~2 ,0~0 ,0~1 
Tottenham Hotspur ,3~0 ,2~1 ,2~0 ,0~1 ,1~0 ,0~3 ,3~0 ,5~0 ,2~1 ,3~1 ,2~2 ,1~0 ,0~3 ,5~1 ,3~0 ,2~3 ,~,1~0 ,3~1 ,0~2 
Watford ,2~3 ,3~2 ,1~2 ,0~2 ,1~2 ,1~2 ,1~4 ,0~0 ,0~3 ,1~5 ,0~5 ,1~3 ,4~1 ,1~1 ,0~3 ,0~1 ,0~1 ,~,1~4 ,0~2 
West Ham United ,1~2 ,2~1 ,1~2 ,1~1 ,1~1 ,3~2 ,2~2 ,2~1 ,2~3 ,4~1 ,3~2 ,2~2 ,1~2 ,1~1 ,2~0 ,2~3 ,1~0 ,1~0 ,~,1~0 
Wolverhampton Wanderers ,0~1 ,2~1 ,0~2 ,0~3 ,0~0 ,0~0 ,0~2 ,2~1 ,2~3 ,2~1 ,0~1 ,1~5 ,0~1 ,2~1 ,1~1 ,3~1 ,0~1 ,4~0 ,1~0 ,~
