Home \ Away ,ARS ,AVL ,BOU ,BRE ,BHA ,CHE ,CRY ,EVE ,FUL ,LEE ,LEI ,LIV ,MCI ,MUN ,NEW ,NFO ,SOU ,TOT ,WHU ,WOL 
Arsenal ,~ ,2~1 ,,,,,,,2~1 ,,4~2 ,3~2 ,,3~2 ,0~0 ,5~0 ,,3~1 ,3~1 ,
Aston Villa,,~ ,,4~0 ,,0~2 ,,2~1 ,,2~1 ,,1~3 ,1~1 ,3~1 ,,,1~0 ,,0~1 ,1~1 
Bournemouth ,0~3 ,2~0 ,~ ,0~0 ,,,0~2 ,3~0 ,,,2~1 ,,,,,1~1 ,0~1 ,2~3 ,,0~0 
Brentford ,0~3 ,,2~0 ,~ ,2~0 ,0~0 ,,1~1 ,,5~2 ,,3~1 ,,4~0 ,,,,2~2 ,,1~1 
Brighton & Hove Albion ,2~4 ,1~2 ,,,~ ,4~1 ,,,,1~0 ,5~2 ,3~0 ,,,0~0 ,0~0 ,,0~1 ,,
Chelsea,0~1 ,,2~0 ,,,~ ,1~0 ,,,,2~1 ,,0~1 ,1~1 ,,,,2~2 ,2~1 ,3~0 
Crystal Palace ,0~2 ,3~1 ,,1~1 ,,1~2 ,~ ,,0~3 ,2~1 ,,,,1~1 ,0~0 ,,1~0 ,0~4 ,,2~1 
Everton ,,,,,1~4 ,0~1 ,3~0 ,~ ,,,0~2 ,0~0 ,,1~2 ,,1~1 ,1~2 ,,1~0 ,1~2 
Fulham ,,3~0 ,2~2 ,3~2 ,2~1 ,2~1 ,,0~0 ,~ ,,,2~2 ,,1~2 ,1~4 ,,2~1 ,0~1 ,,
Leeds United ,0~1 ,0~0 ,4~3 ,0~0 ,,3~0 ,,1~1 ,2~3 ,~ ,,,1~3 ,,,,,,2~2 ,2~1 
Leicester City ,,,,2~2 ,2~2 ,,0~0 ,,0~1 ,2~0 ,~ ,,0~1 ,0~1 ,0~3 ,4~0 ,1~2 ,,,
Liverpool ,,,9~0 ,,3~3 ,0~0 ,1~1 ,,,1~2 ,2~1 ,~ ,1~0 ,,2~1 ,,3~1 ,,1~0 ,
Manchester City ,,,4~0 ,1~2 ,3~1 ,,4~2 ,1~1 ,2~1 ,,,,~ ,6~3 ,,6~0 ,4~0 ,4~2 ,,3~0 
Manchester United ,3~1 ,,3~0 ,,1~2 ,,,,,,,2~1 ,2~1 ,~ ,0~0 ,3~0 ,,2~0 ,1~0 ,
Newcastle United ,,4~0 ,1~1 ,5~1 ,,1~0 ,0~0 ,1~0 ,1~0 ,0~0 ,,,3~3 ,,~ ,2~0 ,,,,
Nottingham Forest ,,1~1 ,2~3 ,2~2 ,,1~1 ,1~0 ,,2~3 ,,2~0 ,1~0 ,,,,~ ,,0~2 ,1~0 ,
Southampton ,1~1 ,0~1 ,,,1~3 ,2~1 ,,1~2 ,,2~2 ,,,,0~1 ,1~4 ,0~1 ,~ ,,1~1 ,
Tottenham Hotspur ,0~2 ,0~2 ,,,,,,2~0 ,2~1 ,4~3 ,6~2 ,1~2 ,,,1~2 ,,4~1 ,~ ,,1~0 
West Ham United ,,,2~0 ,0~2 ,0~2 ,,1~2 ,2~0 ,3~1 ,,0~2 ,,0~2 ,,,,,1~1 ,~ ,2~0 
Wolverhampton Wanderers ,0~2 ,,,,2~3 ,,,,0~0 ,,0~4 ,,0~3 ,0~1 ,1~1 ,1~0 ,1~0 ,,1~0 ,~ 
