Home \ Away[1],ARS,AST,BIR,BOL,BRI,CHE,COV,DER,EVE,IPS,LEE,LIV,MCI,MUN,MID,NWC,NOT,QPR,SOU,TOT,WBA,WOL
Arsenal,,1~1,3~1,1~0,2~0,5~2,1~1,2~0,2~2,4~1,2~2,1~0,1~1,1~1,0~0,1~1,2~1,5~1,1~0,1~0,1~2,0~1
Aston Villa,5~1,,1~0,3~0,2~0,2~1,1~1,3~3,1~1,2~2,2~2,3~1,1~1,2~2,0~2,1~1,1~2,3~1,1~1,2~3,0~1,1~0
Birmingham,0~0,0~1,,3~0,1~1,1~1,0~0,1~1,1~3,1~1,0~1,0~3,1~2,5~1,1~3,1~0,0~2,3~1,2~2,1~0,1~1,1~1
Bolton Wanderers,4~2,0~0,2~2,,1~2,2~1,0~0,2~1,3~1,2~3,3~1,1~4,2~2,3~0,0~0,3~2,0~1,2~1,2~0,1~3,0~1,3~1
Bristol City,1~3,1~0,2~1,4~1,,3~1,5~0,1~0,2~2,3~1,0~0,1~0,1~1,1~2,1~1,1~1,1~3,2~0,3~1,0~0,1~0,0~1
Chelsea,1~1,0~1,2~1,4~3,0~0,,1~3,1~1,0~1,2~3,0~3,0~0,1~4,0~1,2~1,3~3,1~3,1~3,1~2,1~3,1~3,1~2
Coventry City,1~1,1~1,2~1,2~2,3~2,3~2,,4~2,3~2,2~2,0~0,0~0,0~3,4~3,2~1,4~1,0~0,1~0,4~0,1~3,1~3,3~0
Derby County,2~0,0~0,2~1,3~0,0~1,1~0,0~2,,0~0,0~1,0~1,0~2,1~1,1~3,0~3,1~1,1~2,2~1,2~1,2~2,3~2,4~1
Everton,1~0,1~1,1~0,1~0,4~1,3~2,3~3,2~1,,0~1,1~1,1~0,1~0,3~0,2~0,2~2,1~1,2~1,0~0,1~1,0~2,2~0
Ipswich Town,2~0,0~2,3~0,3~0,0~1,5~1,1~1,2~1,0~1,,2~3,0~3,2~1,3~0,2~1,1~1,1~1,2~1,0~0,2~1,0~1,3~1
Leeds United,0~1,1~0,3~0,5~1,1~1,2~1,1~0,4~0,1~0,1~1,,0~3,1~1,2~3,3~1,2~2,1~2,4~3,4~0,1~2,1~3,3~0
Liverpool,3~0,3~0,1~0,3~0,1~0,2~0,1~0,5~0,1~1,2~0,1~1,,1~0,2~0,2~0,6~0,2~0,2~1,2~0,7~0,2~1,2~0
Manchester City,1~1,2~3,3~1,2~1,2~0,2~3,2~0,1~2,0~0,1~2,3~0,1~4,,0~3,1~0,2~2,0~0,3~1,1~2,2~0,2~2,3~1
Manchester United,0~2,1~1,1~0,1~2,1~3,1~1,0~0,0~0,1~1,2~0,4~1,0~3,1~0,,3~2,1~0,1~1,2~0,1~1,2~0,3~5,3~2
Middlesbrough,2~3,2~0,2~1,1~1,0~0,7~2,1~2,3~1,1~2,0~0,1~0,0~1,2~0,2~2,,2~0,1~3,0~2,2~0,1~0,1~1,2~0
Norwich City,0~0,1~2,4~0,0~0,3~0,2~0,1~0,3~0,0~1,0~1,2~2,1~4,1~1,2~2,1~0,,1~1,1~1,3~1,2~2,1~1,0~0
Nottingham Forest,2~1,4~0,1~0,1~1,2~0,6~0,3~0,1~1,0~0,1~0,0~0,0~0,3~1,1~1,2~2,2~1,,0~0,1~0,1~1,0~0,3~1
Queens Park Rangers,1~2,1~0,1~3,1~3,1~0,0~0,5~1,2~2,1~1,0~4,1~4,1~3,2~1,1~1,1~1,0~0,0~0,,0~1,2~2,0~1,3~3
Southampton,2~0,2~0,1~0,2~2,2~0,0~0,4~0,1~2,3~0,1~2,2~2,1~1,1~0,1~1,2~1,2~2,0~0,1~1,,3~3,1~1,3~2
Tottenham Hotspur,0~5,1~4,1~0,2~0,1~0,2~2,1~1,2~0,1~1,1~0,1~2,0~0,0~3,1~1,1~2,0~0,1~3,1~1,0~0,,1~0,1~0
West Bromwich Albion,1~1,1~1,1~0,4~0,3~1,1~0,7~1,2~1,1~0,2~1,1~2,1~1,4~0,1~0,2~0,2~2,0~1,2~1,1~0,0~1,,1~1
Wolverhampton Wanderers,1~0,0~4,2~1,1~1,2~0,0~1,1~1,4~0,1~0,1~3,1~1,0~1,1~1,2~4,1~3,1~0,1~0,1~0,2~0,3~2,0~3,
