Home \ Away[1],ARS,AST,BIR,B&HA,COV,CRY,EVE,IPS,LEE,LEI,LIV,MCI,MUN,MID,NWC,NOT,SOU,STK,SUN,TOT,WBA,WOL
Arsenal,,2~0,2~1,2~0,2~2,3~2,2~1,1~1,0~0,1~0,1~0,2~0,2~1,2~2,3~1,1~0,1~1,2~0,2~2,2~0,2~2,1~1
Aston Villa,1~1,,3~0,4~1,1~0,2~1,0~2,1~2,1~1,2~0,2~0,1~0,3~3,3~0,1~0,2~0,2~1,1~0,4~0,3~0,1~0,2~1
Birmingham,3~1,1~2,,2~1,3~1,1~0,1~1,1~3,0~2,1~2,1~1,2~0,0~0,2~1,4~0,2~0,0~3,1~1,3~2,2~1,1~1,1~0
Brighton & Hove Albion,0~1,1~0,2~2,,4~1,3~2,1~3,1~0,2~0,2~1,2~2,1~2,1~4,0~1,2~0,0~1,2~0,1~1,2~1,0~2,1~2,2~0
Coventry City,3~1,1~2,2~1,3~3,,3~1,0~5,0~4,2~1,4~1,0~0,1~1,0~2,1~0,0~1,1~1,1~0,2~2,2~1,0~1,3~0,2~2
Crystal Palace,2~2,0~1,3~1,0~3,0~3,,2~3,1~2,0~1,2~1,2~2,2~3,1~0,5~2,4~1,1~3,3~2,1~1,0~1,3~4,0~1,0~0
Everton,1~2,1~3,1~1,4~3,3~0,5~0,,0~0,1~2,1~0,2~2,0~2,0~1,4~1,0~2,0~0,2~1,0~1,2~1,2~2,1~1,2~0
Ipswich Town,0~2,1~0,5~1,2~0,2~0,3~2,4~0,,1~1,3~1,1~1,1~0,1~1,1~0,2~0,2~0,2~3,4~0,4~1,3~0,0~0,3~1
Leeds United,0~5,1~2,0~0,1~0,3~0,1~0,1~0,3~0,,1~2,0~0,1~0,0~0,2~1,1~0,1~0,0~3,1~3,1~0,0~0,0~0,1~3
Leicester City,1~0,2~4,1~0,0~1,1~3,1~1,0~1,0~1,0~1,,2~0,1~1,1~0,1~0,1~2,1~1,2~2,1~1,0~1,2~1,0~2,2~0
Liverpool,1~1,2~1,2~2,4~1,2~1,3~0,1~0,1~1,0~0,1~2,,1~0,0~1,4~2,4~1,0~0,2~0,3~0,0~1,2~1,4~0,1~0
Manchester City,1~1,2~2,0~1,1~1,3~0,1~1,3~1,1~1,1~0,3~3,0~3,,1~0,3~2,1~0,1~1,3~0,1~2,0~4,3~1,2~1,4~0
Manchester United,0~0,3~3,2~0,2~1,0~0,1~0,2~0,2~1,0~1,5~0,0~0,2~2,,3~0,1~0,1~1,1~1,2~2,1~1,0~0,2~1,0~0
Middlesbrough,2~1,2~1,1~2,1~0,0~1,2~0,1~0,2~1,3~0,1~0,1~2,2~2,1~1,,6~1,0~0,1~1,3~1,1~0,4~1,2~1,2~0
Norwich City,1~1,1~3,2~2,3~1,2~0,1~1,2~1,1~0,2~3,2~3,0~1,2~0,2~2,2~0,,1~1,1~0,5~1,1~0,2~2,0~2,1~1
Nottingham Forest,3~1,2~2,2~1,4~1,1~1,3~0,1~0,1~2,2~1,5~0,0~0,3~2,1~2,1~0,2~1,,2~1,5~0,3~1,0~3,2~1,1~0
Southampton,3~1,1~2,3~1,3~1,1~0,4~2,3~0,3~3,2~1,4~0,2~2,2~0,1~0,1~0,2~1,2~0,,1~2,2~1,1~1,2~2,4~2
Stoke City,1~1,1~1,0~0,0~0,2~2,1~0,2~2,2~2,3~0,1~0,2~2,2~1,1~2,1~0,3~1,1~2,1~2,,2~0,2~3,0~0,3~2
Sunderland,2~0,1~2,3~0,1~2,3~0,1~0,3~1,0~2,4~1,1~0,2~4,2~0,2~0,0~1,3~0,2~2,1~2,0~0,,1~1,0~0,0~1
Tottenham Hotspur,2~0,2~0,1~0,2~2,4~1,4~2,2~2,5~3,1~1,1~2,1~1,2~1,0~0,3~2,2~3,2~0,4~4,2~2,0~0,,2~3,2~2
West Bromwich Albion,0~1,0~0,2~2,2~0,1~0,1~0,2~0,3~1,1~2,3~1,2~0,3~1,3~1,3~0,3~0,2~1,2~1,0~0,2~1,4~2,,1~1
Wolverhampton Wanderers,1~2,0~1,1~0,0~2,0~1,2~0,0~0,0~2,2~1,0~1,4~1,1~3,1~0,3~0,3~0,1~4,1~1,1~0,2~1,1~0,2~0,
