Home \ Away[1],ARS,AST,BIR,B&HA,COV,EVE,IPS,LEE,LIV,MCI,MUN,MID,NOT,NTC,SOU,STK,SUN,SWA,TOT,WBA,WHU,WOL
Arsenal,,4~3,1~0,0~0,1~0,1~0,1~0,1~0,1~1,1~0,0~0,1~0,2~0,1~0,4~1,0~1,1~1,0~2,1~3,2~2,2~0,2~1
Aston Villa,0~2,,0~0,3~0,2~1,1~2,0~1,1~4,0~3,0~0,1~1,1~0,3~1,0~1,1~1,2~2,1~0,3~0,1~1,2~1,3~2,3~1
Birmingham,0~1,0~1,,1~0,3~3,0~2,1~1,0~1,0~1,3~0,0~1,0~0,4~3,2~1,4~0,2~1,2~0,2~1,0~0,3~3,2~2,0~3
Brighton & Hove Albion,2~1,0~1,1~1,,2~2,3~1,0~1,1~0,3~3,4~1,0~1,2~0,0~1,2~2,1~1,0~0,2~1,1~2,1~3,2~2,1~0,2~0
Coventry City,1~0,1~1,0~1,0~1,,1~0,2~4,4~0,1~2,0~1,2~1,1~1,0~1,1~5,4~2,3~0,6~1,3~1,0~0,0~2,1~0,0~0
Everton,2~1,2~0,3~1,1~1,3~2,,2~1,1~0,1~3,0~1,3~3,2~0,2~1,3~1,1~1,0~0,1~2,3~1,1~1,1~0,0~0,1~1
Ipswich Town,2~1,3~1,3~2,3~1,1~0,3~0,,2~1,2~0,2~0,2~1,3~1,1~3,1~3,5~2,2~0,3~3,2~3,2~1,1~0,3~2,1~0
Leeds United,0~0,1~1,3~3,2~1,0~0,1~1,0~2,,0~2,0~1,0~0,1~1,1~1,1~0,1~3,0~0,1~0,2~0,0~0,3~1,3~3,3~0
Liverpool,2~0,0~0,3~1,0~1,4~0,3~1,4~0,3~0,,1~3,1~2,1~1,2~0,1~0,0~1,2~0,1~0,2~2,3~1,1~0,3~0,2~1
Manchester City,0~0,1~0,4~2,4~0,1~3,1~1,1~1,4~0,0~5,,0~0,3~2,0~0,1~0,1~1,1~1,2~3,4~0,0~1,2~1,0~1,2~1
Manchester United,0~0,4~1,1~1,2~0,0~1,1~1,1~2,1~0,0~1,1~1,,1~0,0~0,2~1,1~0,2~0,0~0,1~0,2~0,1~0,1~0,5~0
Middlesbrough,1~3,3~3,2~1,2~1,0~0,0~2,0~1,0~0,0~0,0~0,0~2,,1~1,3~0,0~1,3~2,0~0,1~1,1~3,1~0,2~3,0~0
Nottingham Forest,1~2,1~1,2~1,2~1,2~1,0~1,1~1,2~1,0~2,1~1,0~1,1~1,,0~2,2~1,0~0,2~0,0~2,2~0,0~0,0~0,0~1
Notts County,2~1,1~0,1~4,4~1,2~1,2~2,1~4,2~1,0~4,1~1,1~3,0~1,1~2,,1~1,3~1,2~0,0~1,2~2,1~2,1~1,4~0
Southampton,3~1,0~3,3~1,0~2,5~5,1~0,4~3,4~0,2~3,2~1,3~2,2~0,2~0,3~1,,4~3,1~0,3~1,1~2,0~0,2~1,4~1
Stoke City,0~1,1~0,1~0,0~0,4~0,3~1,2~0,1~2,1~5,1~3,0~3,2~0,1~2,2~2,0~2,,0~1,1~2,0~2,3~0,2~1,2~1
Sunderland,0~0,2~1,2~0,3~0,0~0,3~1,1~1,0~1,0~2,1~0,1~5,0~2,2~3,1~1,2~0,0~2,,0~1,0~2,1~2,0~2,0~0
Swansea City,2~0,2~1,1~0,0~0,0~0,1~3,1~2,5~1,2~0,2~0,2~0,1~2,1~2,3~2,1~0,3~0,2~0,,2~1,3~1,0~1,0~0
Tottenham Hotspur,2~2,1~3,1~1,0~1,1~2,3~0,1~0,2~1,2~2,2~0,3~1,1~0,3~0,3~1,3~2,2~0,2~2,2~1,,1~2,0~4,6~1
West Bromwich Albion,0~2,0~1,1~1,0~0,1~2,0~0,1~2,2~0,1~1,0~1,0~3,2~0,2~1,2~4,1~1,1~2,2~3,4~1,1~0,,0~0,3~0
West Ham United,1~2,2~2,2~2,1~1,5~2,1~1,2~0,4~3,1~1,1~1,1~1,3~2,0~1,1~0,4~2,3~2,1~1,1~1,2~2,3~1,,3~1
Wolverhampton Wanderers,1~1,0~3,1~1,0~1,1~0,0~3,2~1,1~0,1~0,4~1,0~1,0~0,0~0,3~2,0~0,2~0,0~1,0~1,0~1,1~2,2~1,
