Home \ Away[1],ARS,AST,BIR,B&HA,COV,EVE,IPS,LIV,LUT,MCI,MUN,NWC,NOT,NTC,SOU,STK,SUN,SWA,TOT,WAT,WBA,WHU
Arsenal,,2~1,0~0,3~1,2~1,1~1,2~2,0~2,4~1,3~0,3~0,1~1,0~0,2~0,0~0,3~0,0~1,2~1,2~0,2~4,2~0,2~3
Aston Villa,2~1,,1~0,1~0,4~0,2~0,1~1,2~4,4~1,1~1,2~1,3~2,4~1,2~0,2~0,4~0,1~3,2~0,4~0,3~0,1~0,1~0
Birmingham City,2~1,3~0,,1~1,1~0,1~0,0~0,0~0,2~3,2~2,1~2,0~4,1~1,3~0,0~2,1~4,2~1,1~1,2~0,1~1,2~1,3~0
Brighton & Hove Albion,1~0,0~0,1~0,,1~0,1~2,1~1,2~2,2~4,0~1,1~0,3~0,1~1,0~2,0~1,1~2,3~2,1~1,2~1,1~1,0~0,3~1
Coventry City,0~2,0~0,0~1,2~0,,4~2,1~1,0~0,4~2,4~0,3~0,2~0,1~2,1~0,1~0,2~0,1~0,0~0,1~1,0~1,0~1,2~4
Everton,2~3,5~0,0~0,2~2,1~0,,1~1,0~5,5~0,2~1,2~0,1~1,3~1,3~0,2~0,3~1,3~1,2~2,3~1,1~0,0~0,2~0
Ipswich Town,0~1,1~2,3~1,2~0,1~1,0~2,,1~0,3~0,1~0,1~1,2~3,2~0,0~0,2~1,2~3,4~1,3~1,1~2,3~1,6~1,1~2
Liverpool,3~1,1~1,1~0,3~1,4~0,0~0,1~0,,3~3,5~2,0~0,0~2,4~3,5~1,5~0,5~1,1~0,3~0,3~0,3~1,2~0,3~0
Luton Town,2~2,2~1,3~1,5~0,1~2,1~5,1~1,1~3,,3~1,1~1,0~1,0~2,5~3,3~3,0~0,1~3,3~1,1~1,1~0,0~0,0~2
Manchester City,2~1,0~1,0~0,1~1,3~2,0~0,0~1,0~4,0~1,,1~2,4~1,1~2,0~1,2~0,1~0,2~2,2~1,2~2,1~0,2~1,2~0
Manchester United,0~0,3~1,3~0,1~1,3~0,2~1,3~1,1~1,3~0,2~2,,3~0,2~0,4~0,1~1,1~0,0~0,2~1,1~0,2~0,0~0,2~1
Norwich City,3~1,1~0,5~1,2~1,1~1,0~1,0~0,1~0,1~0,1~2,1~1,,0~1,1~2,1~1,4~2,2~0,1~0,0~0,3~0,1~3,1~1
Nottingham Forest,3~0,1~2,1~1,4~0,4~2,2~0,2~1,1~0,0~1,3~0,0~3,2~2,,2~1,1~2,1~0,0~0,2~1,2~2,2~0,0~0,1~0
Notts County,1~0,4~1,0~0,1~0,5~1,1~0,0~6,1~2,1~1,1~0,3~2,2~2,3~2,,1~2,4~0,0~1,0~0,3~0,3~2,2~1,1~2
Southampton,2~2,1~0,0~1,0~0,1~1,3~2,0~1,3~2,2~2,4~1,0~1,4~0,1~1,1~0,,1~0,2~0,2~1,1~2,1~4,4~1,3~0
Stoke City,2~1,0~3,1~1,3~0,0~3,1~0,1~0,1~1,4~4,1~0,1~0,1~0,1~0,1~0,1~1,,0~1,4~1,2~0,4~0,0~3,5~2
Sunderland,3~0,2~0,1~2,1~1,2~1,2~1,2~3,0~0,1~1,3~2,0~0,4~1,0~1,1~1,1~1,2~2,,1~1,0~1,2~2,1~1,1~0
Swansea City,1~2,2~1,0~0,1~2,2~1,0~3,1~1,0~3,2~0,4~1,0~0,4~0,0~3,2~0,3~2,1~1,3~0,,2~0,1~3,2~1,1~5
Tottenham Hotspur,5~0,2~0,2~1,2~0,4~0,2~1,3~1,2~0,2~2,1~2,2~0,0~0,4~1,4~2,6~0,4~1,1~1,1~0,,0~1,1~1,2~1
Watford,2~1,2~1,2~1,4~1,0~0,2~0,2~1,2~1,5~2,2~0,0~1,2~2,1~3,5~3,2~0,1~0,8~0,2~1,0~1,,3~0,2~1
West Bromwich Albion,0~0,1~0,2~0,5~0,2~0,2~2,4~1,0~1,1~0,0~2,3~1,1~0,2~1,2~2,1~0,1~1,3~0,3~3,0~1,1~3,,1~2
West Ham United,1~3,2~0,5~0,2~1,0~3,2~0,1~1,3~1,2~3,4~1,3~1,1~0,1~2,2~0,1~1,1~1,2~1,3~2,3~0,2~1,0~1,
