Home \ Away[1],ARS,AST,BIR,COV,EVE,IPS,LEI,LIV,LUT,MUN,NWC,NOT,NTC,QPR,SOU,STK,SUN,TOT,WAT,WBA,WHU,WOL
Arsenal,,1~1,1~1,0~1,2~1,4~1,2~1,0~2,2~1,2~3,3~0,4~1,1~1,0~2,2~2,3~1,1~2,3~2,3~1,0~1,3~3,4~1
Aston Villa,2~6,,1~0,2~0,0~2,4~0,3~1,1~3,0~0,0~3,1~0,1~0,3~1,2~1,1~0,1~1,1~0,0~0,2~1,4~3,1~0,4~0
Birmingham City,1~1,2~1,,1~2,0~2,1~0,2~1,0~0,1~1,2~2,0~1,1~2,0~0,0~2,0~0,1~0,0~1,0~1,2~0,2~1,3~0,0~0
Coventry City,1~4,3~3,0~1,,1~1,1~2,2~1,4~0,2~2,1~1,2~1,2~1,2~1,1~0,0~0,2~3,2~1,2~4,1~2,1~2,1~2,2~1
Everton,0~0,1~1,1~1,0~0,,1~0,1~1,1~1,0~1,1~1,0~2,1~0,4~1,3~1,1~0,1~0,0~0,2~1,1~0,0~0,0~1,2~0
Ipswich Town,1~0,2~1,1~2,3~1,3~0,,0~0,1~1,3~0,0~2,2~0,2~2,1~0,0~2,0~3,5~0,1~0,3~1,0~0,3~4,0~3,3~1
Leicester City,3~0,2~0,2~3,1~1,2~0,2~0,,3~3,0~3,1~1,2~1,2~1,0~4,2~1,2~1,2~2,0~2,0~3,4~1,1~1,4~1,5~1
Liverpool,2~1,2~1,1~0,5~0,3~0,2~2,2~2,,6~0,1~1,1~1,1~0,5~0,2~0,1~1,1~0,0~1,3~1,3~0,3~0,6~0,0~1
Luton Town,1~2,1~0,1~1,2~4,0~3,2~1,0~0,0~0,,0~5,2~2,2~3,3~2,0~0,3~1,0~1,4~1,2~4,1~2,2~0,0~1,4~0
Manchester United,4~0,1~2,1~0,4~1,0~1,1~2,2~0,1~0,2~0,,0~0,1~2,3~3,3~1,3~2,1~0,2~1,4~2,4~1,3~0,0~0,3~0
Norwich City,1~1,3~1,1~1,0~0,1~1,0~0,3~1,0~1,0~0,3~3,,2~3,0~1,0~3,1~0,2~2,3~0,2~1,6~1,2~0,1~0,3~0
Nottingham Forest,0~1,2~2,5~1,3~0,1~0,2~1,3~2,0~1,1~0,2~0,3~0,,3~1,3~2,0~1,0~0,1~1,2~2,5~1,3~1,3~0,5~0
Notts County,0~4,5~2,2~1,2~1,0~1,0~2,2~5,0~0,0~3,1~0,1~1,0~0,,0~3,1~3,1~1,6~1,0~0,3~5,1~1,2~2,4~0
Queens Park Rangers,2~0,2~1,2~1,2~1,2~0,1~0,2~0,0~1,0~1,1~1,2~0,0~1,1~0,,4~0,6~0,3~0,2~1,1~1,1~1,1~1,2~1
Southampton,1~0,2~2,2~1,8~2,3~1,3~2,2~2,2~0,2~1,3~0,2~1,0~1,0~2,0~0,,3~1,1~1,5~0,1~0,1~0,2~0,1~0
Stoke City,1~0,1~0,2~1,1~3,1~1,1~0,0~1,2~0,2~4,0~1,2~0,1~1,1~0,1~2,1~1,,2~1,1~1,0~4,3~1,3~1,4~0
Sunderland,2~2,0~1,2~1,1~0,2~1,1~1,1~1,0~0,2~0,0~1,1~1,1~1,0~0,1~0,0~2,2~2,,1~1,3~0,3~0,0~1,3~2
Tottenham Hotspur,2~4,2~1,0~1,1~1,1~2,2~0,3~2,2~2,2~1,1~1,2~0,2~1,1~0,3~2,0~0,1~0,3~0,,2~3,0~1,0~2,1~0
Watford,2~1,3~2,1~0,2~3,4~4,2~2,3~3,0~2,1~2,0~0,1~3,3~2,3~1,1~0,1~1,2~0,2~1,2~3,,3~1,0~0,0~0
West Bromwich Albion,1~3,3~1,1~2,1~1,1~1,2~1,1~0,1~2,3~0,2~0,0~0,0~5,2~0,1~2,0~2,3~0,3~1,1~1,2~0,,1~0,1~3
West Ham United,3~1,0~1,4~0,5~2,0~1,2~1,3~1,1~3,3~1,1~1,0~0,1~2,3~0,2~2,0~1,3~0,0~1,4~1,2~4,1~0,,1~1
Wolverhampton Wanderers,1~2,1~1,1~1,0~0,3~0,0~3,1~0,1~1,1~2,1~1,2~0,1~0,0~1,0~4,0~1,0~0,0~0,2~3,0~5,0~0,0~3,
