Home \ Away,ARS,AST,CHE,COV,EVE,IPS,LEI,LIV,LUT,MUN,NEW,NWC,NOT,QPR,SHW,SOU,STK,SUN,TOT,WAT,WBA,WHU
Arsenal,,1~1,1~1,2~1,1~0,1~1,2~0,3~1,3~1,0~1,2~0,2~0,1~1,1~0,1~0,1~0,4~0,3~2,1~2,1~1,4~0,2~1
Aston Villa,0~0,,4~2,1~0,1~1,2~1,0~1,0~0,0~1,3~0,4~0,2~2,0~5,5~2,3~0,2~2,2~0,1~0,0~1,1~1,3~1,0~0
Chelsea,1~1,3~1,,6~2,0~1,2~0,3~0,3~1,2~0,1~3,1~0,1~2,1~0,1~0,2~1,0~2,1~1,1~0,1~1,2~3,3~1,3~0
Coventry City,1~2,0~3,1~0,,4~1,1~0,2~0,0~2,1~0,0~3,1~1,0~0,1~3,3~0,1~0,2~1,4~0,0~1,1~1,3~1,2~1,1~2
Everton,2~0,2~1,3~4,2~1,,1~1,3~0,1~0,2~1,5~0,4~0,3~0,5~0,2~0,1~1,2~2,4~0,4~1,1~4,4~0,4~1,3~0
Ipswich Town,2~1,3~0,2~0,0~0,0~2,,2~0,0~0,1~1,1~1,1~1,2~0,1~0,1~1,1~2,0~1,5~1,0~2,0~3,3~3,2~0,0~1
Leicester City,1~4,5~0,1~1,5~1,1~2,2~1,,0~1,2~2,2~3,2~3,2~0,1~0,4~0,3~1,1~2,0~0,2~0,1~2,1~1,2~1,1~0
Liverpool,3~0,2~1,4~3,3~1,0~1,2~0,1~2,,1~0,0~1,3~1,4~0,1~0,1~1,0~2,1~1,2~0,1~1,0~1,4~3,0~0,3~0
Luton Town,3~1,1~0,0~0,2~0,2~0,3~1,4~0,1~2,,2~1,2~2,3~1,1~2,2~0,1~2,1~1,2~0,2~1,2~2,3~2,1~2,2~2
Manchester United,4~2,4~0,1~1,0~1,1~1,3~0,2~1,1~1,2~0,,5~0,2~0,2~0,3~0,1~2,0~0,5~0,2~2,1~0,1~1,2~0,5~1
Newcastle United,1~3,3~0,2~1,0~1,2~3,3~0,1~4,0~2,1~0,1~1,,1~1,1~1,1~0,2~1,2~1,2~1,3~1,2~3,3~1,1~0,1~1
Norwich City,1~0,2~2,0~0,2~1,4~2,0~2,1~3,3~3,3~0,0~1,0~0,,0~1,2~0,1~1,1~0,0~0,1~3,1~2,3~2,2~1,1~0
Nottingham Forest,2~0,3~2,2~0,2~0,1~0,2~0,2~1,0~2,3~1,3~2,0~0,3~1,,2~0,0~0,2~0,1~1,3~1,1~2,1~1,1~2,1~2
Queens Park Rangers,1~0,2~0,2~2,2~1,0~0,3~0,4~3,0~2,2~3,1~3,5~5,2~2,3~0,,0~0,0~4,2~0,1~0,2~2,2~0,3~1,4~2
Sheffield Wednesday,2~1,1~1,1~1,1~0,0~1,2~2,5~0,1~1,1~1,1~0,4~2,1~2,3~1,3~1,,2~1,2~1,2~2,2~1,1~1,2~0,2~1
Southampton,1~0,2~0,1~0,2~1,1~2,3~0,3~1,1~1,1~0,0~0,1~0,2~1,1~0,1~1,0~3,,0~0,1~0,1~0,1~2,4~3,2~3
Stoke City,2~0,1~3,0~1,0~1,0~2,0~2,2~2,0~1,0~4,2~1,0~1,2~3,1~4,0~2,2~1,1~3,,2~2,0~1,1~3,0~0,2~4
Sunderland,0~0,0~4,0~2,0~0,1~2,1~2,0~4,0~3,3~0,3~2,0~0,2~1,0~2,3~0,0~0,3~1,1~0,,1~0,1~1,1~1,0~1
Tottenham Hotspur,0~2,0~2,1~1,4~2,1~2,2~3,2~2,1~0,4~2,1~2,3~1,3~1,1~0,5~0,2~0,5~1,4~0,2~0,,1~5,2~3,2~2
Watford,3~4,3~3,1~3,0~1,4~5,3~1,4~1,1~1,3~0,5~1,5~3,2~0,2~0,1~1,1~0,1~1,2~0,3~1,1~2,,0~2,5~0
West Bromwich Albion,2~2,1~0,0~1,5~2,2~1,1~2,2~0,0~5,4~0,1~2,2~1,0~1,4~1,0~0,2~2,0~0,2~0,1~0,0~1,2~1,,5~1
West Ham United,3~1,1~2,1~1,3~1,0~1,0~0,3~1,0~3,0~0,2~2,1~1,1~0,0~0,1~3,0~0,2~3,5~1,1~0,1~1,2~0,0~2,
