Home \ Away,ARS,AST,BIR,CHE,COV,EVE,IPS,LEI,LIV,LUT,MCI,MUN,NEW,NOT,OXF,QPR,SHW,SOU,TOT,WAT,WBA,WHU
Arsenal,,3~2,0~0,2~0,3~0,0~1,1~0,1~0,2~0,2~1,1~0,1~2,0~0,1~1,2~1,3~1,1~0,3~2,0~0,0~2,2~2,1~0
Aston Villa,1~4,,0~3,3~1,1~1,0~0,1~0,1~0,2~2,3~1,0~1,1~3,1~2,1~2,2~0,1~2,1~1,0~0,1~2,4~1,1~1,2~1
Birmingham City,0~1,0~0,,1~2,0~1,0~2,0~1,2~1,0~2,0~2,1~0,1~1,0~1,0~1,3~1,2~0,0~2,0~2,1~2,1~2,0~1,1~0
Chelsea,2~1,2~1,2~0,,1~0,2~1,1~1,2~2,0~1,1~0,1~0,1~2,1~1,4~2,1~4,1~1,2~1,2~0,2~0,1~5,3~0,0~4
Coventry City,0~2,3~3,4~4,1~1,,1~3,0~1,3~0,0~3,1~0,1~1,1~3,1~2,0~0,5~2,2~1,0~1,3~2,2~3,0~2,3~0,0~1
Everton,6~1,2~0,4~1,1~1,1~1,,1~0,1~2,2~3,2~0,4~0,3~1,1~0,1~1,2~0,4~3,3~1,6~1,1~0,4~1,2~0,3~1
Ipswich Town,1~2,0~3,0~1,0~2,1~0,3~4,,0~2,2~1,1~1,0~0,0~1,2~2,1~0,3~2,1~0,2~1,1~1,1~0,0~0,1~0,0~1
Leicester City,2~2,3~1,4~2,0~0,2~1,3~1,1~0,,0~2,0~0,1~1,3~0,2~0,0~3,4~4,1~4,2~3,2~2,1~4,2~2,2~2,0~1
Liverpool,2~0,3~0,5~0,1~1,5~0,0~2,5~0,1~0,,3~2,2~0,1~1,1~1,2~0,6~0,4~1,2~2,1~0,4~1,3~1,4~1,3~1
Luton Town,2~2,2~0,2~0,1~1,0~1,2~1,1~0,3~1,0~1,,2~1,1~1,2~0,1~1,1~2,2~0,1~0,7~0,1~1,3~2,3~0,0~0
Manchester City,0~1,2~2,1~1,0~1,5~1,1~1,1~1,1~1,1~0,1~1,,0~3,1~0,1~2,0~3,2~0,1~3,1~0,2~1,0~1,2~1,2~2
Manchester United,0~1,4~0,1~0,1~2,2~0,0~0,1~0,4~0,1~1,2~0,2~2,,3~0,2~3,3~0,2~0,0~2,1~0,0~0,1~1,3~0,2~0
Newcastle United,1~0,2~2,4~1,1~3,3~2,2~2,3~1,2~1,1~0,2~2,3~1,2~4,,0~3,3~0,3~1,4~1,2~1,2~2,1~1,4~1,1~2
Nottingham Forest,3~2,1~1,3~0,0~0,5~2,0~0,3~1,4~3,1~1,2~0,0~2,1~3,1~2,,1~1,4~0,0~1,2~1,0~1,3~2,2~1,2~1
Oxford United,3~0,1~1,0~1,2~1,0~1,1~0,4~3,5~0,2~2,1~1,1~0,1~3,1~2,1~2,,3~3,0~1,3~0,1~1,1~1,2~2,1~2
Queens Park Rangers,0~1,0~1,3~1,6~0,0~2,3~0,1~0,2~0,2~1,1~1,0~0,1~0,3~1,2~1,3~1,,1~1,0~2,2~5,2~1,1~0,0~1
Sheffield Wednesday,2~0,2~0,5~1,1~1,2~2,1~5,1~0,1~0,0~0,3~2,3~2,1~0,2~2,2~1,2~1,0~0,,2~1,1~2,2~1,1~0,2~2
Southampton,3~0,0~0,1~0,0~1,1~1,2~3,1~0,0~0,1~2,1~2,3~0,1~0,1~1,3~1,1~1,3~0,2~3,,1~0,3~1,3~1,1~1
Tottenham Hotspur,1~0,4~2,2~0,4~1,0~1,0~1,2~0,1~3,1~2,1~3,0~2,0~0,5~1,0~3,5~1,1~1,5~1,5~3,,4~0,5~0,1~0
Watford,3~0,1~1,3~0,3~1,3~0,0~2,0~0,2~1,2~3,1~2,3~2,1~1,4~1,1~1,2~2,2~0,2~1,1~1,1~0,,5~1,0~2
West Bromwich Albion,0~0,0~3,2~1,0~3,0~0,0~3,1~2,2~2,1~2,1~2,2~3,1~5,1~1,1~1,1~1,0~1,1~1,1~0,1~1,3~1,,2~3
West Ham United,0~0,4~1,2~0,1~2,1~0,2~1,2~1,3~0,2~2,0~1,1~0,2~1,8~1,4~2,3~1,3~1,1~0,1~0,2~1,2~1,4~0,
