Home \ Away,ARS,AST,CHA,CHE,COV,EVE,LEI,LIV,LUT,MCI,MUN,NEW,NWC,NOT,OXF,QPR,SHW,SOU,TOT,WAT,WHU,WDN
Arsenal,,2~1,2~1,3~1,0~0,0~1,4~1,0~1,3~0,3~0,1~0,0~1,1~2,0~0,0~0,3~1,2~0,1~0,0~0,3~1,0~0,3~1
Aston Villa,0~4,,2~0,0~0,1~0,0~1,2~0,2~2,2~1,0~0,3~3,2~0,1~4,0~0,1~2,0~1,1~2,3~1,0~3,1~1,4~0,0~0
Charlton Athletic,0~2,3~0,,0~0,1~1,3~2,2~0,0~0,0~1,5~0,0~0,1~1,1~2,0~1,0~0,2~1,1~1,1~3,0~2,4~3,2~1,0~1
Chelsea,1~0,4~1,0~1,,0~0,1~2,3~1,3~3,1~3,2~1,1~1,1~3,0~0,2~6,4~0,3~1,2~0,1~1,0~2,0~0,1~0,0~4
Coventry City,2~1,0~1,2~1,3~0,,1~1,1~0,1~0,0~1,2~2,1~1,3~0,2~1,1~0,3~0,4~1,1~0,1~1,4~3,1~0,1~3,1~0
Everton,0~1,3~0,2~1,2~2,3~1,,5~1,0~0,3~1,0~0,3~1,3~0,4~0,2~0,3~1,0~0,2~0,3~0,1~0,3~2,4~0,3~0
Leicester City,1~1,1~1,1~0,2~2,1~1,0~2,,2~1,1~1,4~0,1~1,1~1,0~2,3~1,2~0,4~1,6~1,2~3,1~2,1~2,2~0,3~1
Liverpool,2~1,3~3,2~0,3~0,2~0,3~1,4~3,,2~0,0~0,0~1,2~0,6~2,3~0,4~0,2~1,1~1,1~0,0~1,1~0,1~0,1~2
Luton Town,0~0,2~1,1~0,1~0,2~0,1~0,1~0,4~1,,1~0,2~1,0~0,0~0,4~2,2~3,1~0,0~0,2~1,3~1,0~2,2~1,0~0
Manchester City,3~0,3~1,2~1,1~2,0~1,1~3,1~2,0~1,1~1,,1~1,0~0,2~2,1~0,1~0,0~0,1~0,2~4,1~1,1~2,3~1,3~1
Manchester United,2~0,3~1,0~1,0~1,1~1,0~0,2~0,1~0,1~0,2~0,,4~1,0~1,2~0,3~2,1~0,3~1,5~1,3~3,3~1,2~3,0~1
Newcastle United,1~2,2~1,0~3,1~0,1~2,0~4,2~0,0~2,2~2,3~1,2~1,,4~1,3~2,0~0,0~2,2~3,2~0,1~1,2~2,4~0,1~0
Norwich City,1~1,1~1,1~1,2~2,1~1,0~1,2~1,2~1,0~0,1~1,0~0,2~0,,2~1,2~1,1~0,1~0,4~3,2~1,1~3,1~1,0~0
Nottingham Forest,1~0,6~0,4~0,0~1,0~0,1~0,2~1,1~1,2~2,2~0,1~1,2~1,1~1,,2~0,1~0,3~2,0~0,2~0,1~1,1~1,3~2
Oxford United,0~0,2~2,3~2,1~1,2~0,1~1,0~0,1~3,4~2,0~0,2~0,1~1,0~1,2~1,,0~1,2~1,3~1,2~4,1~3,0~0,3~1
Queens Park Rangers,1~4,1~0,0~0,1~1,3~1,0~1,0~1,1~3,2~2,1~0,1~1,2~1,1~1,3~1,1~1,,2~2,2~1,2~0,3~2,2~3,2~1
Sheffield Wednesday,1~1,2~1,1~1,2~0,2~2,2~2,2~2,0~1,1~0,2~1,1~0,2~0,1~1,2~3,6~1,7~1,,3~1,0~1,0~1,2~2,0~2
Southampton,0~4,5~0,2~2,1~2,2~0,0~2,4~0,2~1,3~0,1~1,1~1,4~1,1~2,1~3,3~0,5~1,1~1,,2~0,3~1,1~0,2~2
Tottenham Hotspur,1~2,3~0,1~0,1~3,1~0,2~0,5~0,1~0,0~0,1~0,4~0,1~1,3~0,2~3,3~1,1~0,1~1,2~0,,2~1,4~0,1~2
Watford,2~0,4~2,4~1,3~1,2~3,2~1,5~1,2~0,2~0,1~1,1~0,1~0,1~1,1~1,3~0,0~3,0~1,1~1,1~0,,2~2,0~1
West Ham United,3~1,1~1,1~3,5~3,1~0,1~0,4~1,2~5,2~0,2~0,0~0,1~1,0~2,1~2,0~1,1~1,0~2,3~1,2~1,1~0,,2~3
Wimbledon,1~2,3~2,2~0,2~1,2~1,1~2,1~0,1~3,0~1,0~0,1~0,3~1,2~0,2~1,1~1,1~1,3~0,2~2,2~2,2~1,0~1,
