Home \ Away,ARS,CHA,CHE,COV,DER,EVE,LIV,LUT,MUN,NEW,NWC,NOT,OXF,POR,QPR,SHW,SOU,TOT,WAT,WHU,WDN
Arsenal,,4~0,3~1,1~1,2~1,1~1,1~2,2~1,1~2,1~1,2~0,0~2,2~0,6~0,0~0,3~1,0~1,2~1,0~1,1~0,3~0
Charlton Athletic,0~3,,2~2,2~2,0~1,0~0,0~2,1~0,1~3,2~0,2~0,1~2,0~0,2~1,0~1,3~1,1~1,1~1,1~0,3~0,1~1
Chelsea,1~1,1~1,,1~0,1~0,0~0,1~1,3~0,1~2,2~2,1~0,4~3,2~1,0~0,1~1,2~1,0~1,0~0,1~1,1~1,1~1
Coventry City,0~0,0~0,3~3,,0~3,1~2,1~4,4~0,0~0,1~3,0~0,0~3,1~0,1~0,0~0,3~0,2~3,2~1,1~0,0~0,3~3
Derby County,0~0,1~1,2~0,2~0,,0~0,1~1,1~0,1~2,2~1,1~2,0~1,0~1,0~0,0~2,2~2,2~0,1~2,1~1,1~0,0~1
Everton,1~2,1~1,4~1,1~2,3~0,,1~0,2~0,2~1,1~0,1~0,1~0,0~0,2~1,2~0,4~0,1~0,0~0,2~0,3~1,2~2
Liverpool,2~0,3~2,2~1,4~0,4~0,2~0,,1~1,3~3,4~0,0~0,5~0,2~0,4~0,4~0,1~0,1~1,1~0,4~0,0~0,2~1
Luton Town,1~1,1~0,3~0,0~1,1~0,2~1,0~1,,1~1,4~0,1~2,1~1,7~4,4~1,2~1,2~2,2~2,2~0,2~1,2~2,2~0
Manchester United,0~0,0~0,3~1,1~0,4~1,2~1,1~1,3~0,,2~2,2~1,2~2,3~1,4~1,2~1,4~1,0~2,1~0,2~0,3~1,2~1
Newcastle United,0~1,2~1,3~1,2~2,0~0,1~1,1~4,4~0,1~0,,1~3,0~1,3~1,1~1,1~1,2~2,2~1,2~0,3~0,2~1,1~2
Norwich City,2~4,2~0,3~0,3~1,1~2,0~3,0~0,2~2,1~0,1~1,,0~2,4~2,0~1,1~1,0~3,0~1,2~1,0~0,4~1,0~1
Nottingham Forest,0~1,2~2,3~2,4~1,2~1,0~0,2~1,1~1,0~0,0~2,2~0,,5~3,5~0,4~0,3~0,3~3,3~0,1~0,0~0,0~0
Oxford United,0~0,2~1,4~4,1~0,0~0,1~1,0~3,2~5,0~2,1~3,3~0,0~2,,4~2,2~0,0~3,0~0,0~0,1~1,1~2,2~5
Portsmouth,1~1,1~1,0~3,0~0,2~1,0~1,0~2,3~1,1~2,1~2,2~2,0~1,2~2,,0~1,1~2,2~2,0~0,1~1,2~1,2~1
Queens Park Rangers,2~0,2~0,3~1,1~2,1~1,1~0,0~1,2~0,0~2,1~1,3~0,2~1,3~2,2~1,,1~1,3~0,2~0,0~0,0~1,1~0
Sheffield Wednesday,3~3,2~0,3~0,0~3,2~1,1~0,1~5,0~2,2~4,0~1,1~0,0~1,1~1,1~0,3~1,,2~1,0~3,2~3,2~1,1~0
Southampton,4~2,0~1,3~0,1~2,1~2,0~4,2~2,1~1,2~2,1~1,0~0,1~1,3~0,0~2,0~1,1~1,,2~1,1~0,2~1,2~2
Tottenham Hotspur,1~2,0~1,1~0,2~2,0~0,2~1,0~2,2~1,1~1,3~1,1~3,1~1,3~0,0~1,1~1,2~0,2~1,,2~1,2~1,0~3
Watford,2~0,2~1,0~3,0~1,1~1,1~2,1~4,0~1,0~1,1~1,0~1,0~0,3~0,0~0,0~1,1~3,0~1,1~1,,1~2,1~0
West Ham United,0~1,1~1,4~1,1~1,1~1,0~0,1~1,1~1,1~1,2~1,2~0,3~2,1~1,1~1,0~3,0~1,2~1,0~1,1~0,,1~2
Wimbledon,3~1,4~1,2~2,1~2,2~1,1~1,1~1,2~0,2~1,0~0,1~0,1~1,1~1,2~2,1~2,1~1,2~0,3~0,1~2,1~1,
