Home \ Away,ARS,AST,CHA,COV,DER,EVE,LIV,LUT,MUN,MID,MIL,NEW,NWC,NOT,QPR,SHW,SOU,TOT,WHU,WDN
Arsenal,,2~3,2~2,2~0,1~2,2~0,1~1,2~0,2~1,3~0,0~0,1~0,5~0,1~3,2~1,1~1,2~2,2~0,2~1,2~2
Aston Villa,0~3,,1~2,1~1,1~2,2~0,1~1,2~1,0~0,1~1,2~2,3~1,3~1,1~1,2~1,2~0,1~2,2~1,0~1,0~1
Charlton Athletic,2~3,2~2,,0~0,3~0,1~2,0~3,3~0,1~0,2~0,0~3,2~2,1~2,0~1,1~1,2~1,2~2,2~2,0~0,1~0
Coventry City,1~0,2~1,3~0,,0~2,0~1,1~3,1~0,1~0,3~4,0~0,1~2,2~1,2~2,0~3,5~0,2~1,1~1,1~1,2~1
Derby County,2~1,2~1,0~0,1~0,,3~2,0~1,0~1,2~2,1~0,0~1,2~0,0~1,0~2,0~1,1~0,3~1,1~1,1~2,4~1
Everton,1~3,1~1,3~2,3~1,1~0,,0~0,0~2,1~1,2~1,1~1,4~0,1~1,1~1,4~1,1~0,4~1,1~0,3~1,1~1
Liverpool,0~2,1~0,2~0,0~0,1~0,1~1,,5~0,1~0,3~0,1~1,1~2,0~1,1~0,2~0,5~1,2~0,1~1,5~1,1~1
Luton Town,1~1,1~1,5~2,2~2,3~0,1~0,1~0,,0~2,1~0,1~2,0~0,1~0,2~3,0~0,0~1,6~1,1~3,4~1,2~2
Manchester United,1~1,1~1,3~0,0~1,0~2,1~2,3~1,2~0,,1~0,3~0,2~0,1~2,2~0,0~0,1~1,2~2,1~0,2~0,1~0
Middlesbrough,0~1,3~3,0~0,1~1,0~1,3~3,0~4,2~1,1~0,,4~2,1~1,2~3,3~4,1~0,0~1,3~3,2~2,1~0,1~0
Millwall,1~2,2~0,1~0,1~0,1~0,2~1,1~2,3~1,0~0,2~0,,4~0,2~3,2~2,3~2,1~0,1~1,0~5,0~1,0~1
Newcastle United,0~1,1~2,0~2,0~3,0~1,2~0,2~2,0~0,0~0,3~0,1~1,,0~2,0~1,1~2,1~3,3~3,2~2,1~2,2~1
Norwich City,0~0,2~2,1~3,1~2,1~0,1~0,0~1,2~2,2~1,0~0,2~2,0~2,,2~1,1~0,1~1,1~1,3~1,2~1,1~0
Nottingham Forest,1~4,4~0,4~0,0~0,1~1,2~0,2~1,0~0,2~0,2~2,4~1,1~1,2~0,,0~0,1~1,3~0,1~2,1~2,0~1
Queens Park Rangers,0~0,1~0,1~0,2~1,0~1,0~0,0~1,1~1,3~2,0~0,1~2,3~0,1~1,1~2,,2~0,0~1,1~0,2~1,4~3
Sheffield Wednesday,2~1,1~0,3~1,1~2,1~1,1~1,2~2,1~0,0~2,1~0,3~0,1~2,2~2,0~3,0~2,,1~1,0~2,0~2,1~1
Southampton,1~3,3~1,2~0,2~2,0~0,1~1,1~3,2~1,2~1,1~3,2~2,1~0,0~0,1~1,1~4,1~2,,0~2,4~0,0~0
Tottenham Hotspur,2~3,2~0,1~1,1~1,1~3,2~1,1~2,0~0,2~2,3~2,2~0,2~0,2~1,1~2,2~2,0~0,1~2,,3~0,3~2
West Ham United,1~4,2~2,1~3,1~1,1~1,0~1,0~2,1~0,1~3,1~2,3~0,2~0,0~2,3~3,0~0,0~0,1~2,0~2,,1~2
Wimbledon,1~5,1~0,1~1,0~1,4~0,2~1,1~2,4~0,1~1,1~1,1~0,4~0,0~2,4~1,1~0,1~0,2~1,1~2,0~1,
