Home \ Away,ARS,AST,CHA,CHE,COV,CRY,DER,EVE,LIV,LUT,MCI,MUN,MIL,NWC,NOT,QPR,SHW,SOU,TOT,WDN
Arsenal,,0~1,1~0,0~1,2~0,4~1,1~1,1~0,1~1,3~2,4~0,1~0,2~0,4~3,3~0,3~0,5~0,2~1,1~0,0~0
Aston Villa,2~1,,1~1,1~0,4~1,2~1,1~0,6~2,1~1,2~0,1~2,3~0,1~0,3~3,2~1,1~3,1~0,2~1,2~0,0~3
Charlton Athletic,0~0,0~2,,3~0,1~1,1~2,0~0,0~1,0~4,2~0,1~1,2~0,1~1,0~1,1~1,1~0,1~2,2~4,1~3,1~2
Chelsea,0~0,0~3,3~1,,1~0,3~0,1~1,2~1,2~5,1~0,1~1,1~0,4~0,0~0,2~2,1~1,4~0,2~2,1~2,2~5
Coventry City,0~1,2~0,1~2,3~2,,1~0,1~0,2~0,1~6,1~0,2~1,1~4,3~1,1~0,0~2,1~1,1~4,1~0,0~0,2~1
Crystal Palace,1~1,1~0,2~0,2~2,0~1,,1~1,2~1,0~2,1~1,2~2,1~1,4~3,1~0,1~0,0~3,1~1,3~1,2~3,2~0
Derby County,1~3,0~1,2~0,0~1,4~1,3~1,,0~1,0~3,2~3,6~0,2~0,2~0,0~2,0~2,2~0,2~0,0~1,2~1,1~1
Everton,3~0,3~3,2~1,0~1,2~0,4~0,2~1,,1~3,2~1,0~0,3~2,2~1,3~1,4~0,1~0,2~0,3~0,2~1,1~1
Liverpool,2~1,1~1,1~0,4~1,0~1,9~0,1~0,2~1,,2~2,3~1,0~0,1~0,0~0,2~2,2~1,2~1,3~2,1~0,2~1
Luton Town,2~0,0~1,1~0,0~3,3~2,1~0,1~0,2~2,0~0,,1~1,1~3,2~1,4~1,1~1,1~1,2~0,1~1,0~0,1~1
Manchester City,1~1,0~2,1~2,1~1,1~0,3~0,0~1,1~0,1~4,3~1,,5~1,2~0,1~0,0~3,1~0,2~1,1~2,1~1,1~1
Manchester United,4~1,2~0,1~0,0~0,3~0,1~2,1~2,0~0,1~2,4~1,1~1,,5~1,0~2,1~0,0~0,0~0,2~1,0~1,0~0
Millwall,1~2,2~0,2~2,1~3,4~1,1~2,1~1,1~2,1~2,1~1,1~1,1~2,,0~1,1~0,1~2,2~0,2~2,0~1,0~0
Norwich City,2~2,2~0,0~0,2~0,0~0,2~0,1~0,1~1,0~0,2~0,0~1,2~0,1~1,,1~1,0~0,2~1,4~4,2~2,0~1
Nottingham Forest,1~2,1~1,2~0,1~1,2~4,3~1,2~1,1~0,2~2,3~0,1~0,4~0,3~1,0~1,,2~2,0~1,2~0,1~3,0~1
Queens Park Rangers,2~0,1~1,0~1,4~2,1~1,2~0,0~1,1~0,3~2,0~0,1~3,1~2,0~0,2~1,2~0,,1~0,1~4,3~1,2~3
Sheffield Wednesday,1~0,1~0,3~0,1~1,0~0,2~2,1~0,1~1,2~0,1~1,2~0,1~0,1~1,0~2,0~3,2~0,,0~1,2~4,0~1
Southampton,1~0,2~1,3~2,2~3,3~0,1~1,2~1,2~2,4~1,6~3,2~1,0~2,1~2,4~1,2~0,0~2,2~2,,1~1,2~2
Tottenham Hotspur,2~1,0~2,3~0,1~4,3~2,0~1,1~2,2~1,1~0,2~1,1~1,2~1,3~1,4~0,2~3,3~2,3~0,2~1,,0~1
Wimbledon,1~0,0~2,3~1,0~1,0~0,0~1,1~1,3~1,1~2,1~2,1~0,2~2,2~2,1~1,1~3,0~0,1~1,3~3,1~0,
