Home \ Away[1],ARS,AST,CHE,COV,CRY,DER,EVE,LEE,LIV,LUT,MCI,MUN,NWC,NOT,QPR,SHU,SOU,SUN,TOT,WDN
Arsenal,,5~0,4~1,6~1,4~0,3~0,1~0,2~0,3~0,2~1,2~2,3~1,2~0,1~1,2~0,4~1,4~0,1~0,0~0,2~2
Aston Villa,0~0,,2~2,2~1,2~0,3~2,2~2,0~0,0~0,1~2,1~5,1~1,2~1,1~1,2~2,2~1,1~1,3~0,3~2,1~2
Chelsea,2~1,1~0,,2~1,2~1,2~1,1~2,1~2,4~2,3~3,1~1,3~2,1~1,0~0,2~0,2~2,0~2,3~2,3~2,0~0
Coventry City,0~2,2~1,1~0,,3~1,3~0,3~1,1~1,0~1,2~1,3~1,2~2,2~0,2~2,3~1,0~0,1~2,0~0,2~0,0~0
Crystal Palace,0~0,0~0,2~1,2~1,,2~1,0~0,1~1,1~0,1~0,1~3,3~0,1~3,2~2,0~0,1~0,2~1,2~1,1~0,4~3
Derby County,0~2,0~2,4~6,1~1,0~2,,2~3,0~1,1~7,2~1,1~1,0~0,0~0,2~1,1~1,1~1,6~2,3~3,0~1,1~1
Everton,1~1,1~0,2~2,1~0,0~0,2~0,,2~3,2~3,1~0,2~0,0~1,1~0,0~0,3~0,1~2,3~0,2~0,1~1,1~2
Leeds United,2~2,5~2,4~1,2~0,1~2,3~0,2~0,,4~5,2~1,1~2,0~0,3~0,3~1,2~3,2~1,2~1,5~0,0~2,3~0
Liverpool,0~1,2~1,2~0,1~1,3~0,2~0,3~1,3~0,,4~0,2~2,4~0,3~0,2~0,1~3,2~0,3~2,2~1,2~0,1~1
Luton Town,1~1,2~0,2~0,1~0,1~1,2~0,1~1,1~0,3~1,,2~2,0~1,0~1,1~0,1~2,0~1,3~4,1~2,0~0,0~1
Manchester City,0~1,2~1,2~1,2~0,0~2,2~1,1~0,2~3,0~3,3~0,,3~3,2~1,3~1,2~1,2~0,3~3,3~2,2~1,1~1
Manchester United,0~1,1~1,2~3,2~0,2~0,3~1,0~2,1~1,1~1,4~1,1~0,,3~0,0~1,3~1,2~0,3~2,3~0,1~1,2~1
Norwich City,0~0,2~0,1~3,2~2,0~3,2~1,1~0,2~0,1~1,1~3,1~2,0~3,,2~6,1~0,3~0,3~1,3~2,2~1,0~4
Nottingham Forest,0~2,2~2,7~0,3~0,0~1,1~0,3~1,4~3,2~1,2~2,1~3,1~1,5~0,,1~1,2~0,3~1,2~0,1~2,2~1
Queens Park Rangers,1~3,2~1,1~0,1~0,1~2,1~1,1~1,2~0,1~1,6~1,1~0,1~1,1~3,1~2,,1~2,2~1,3~2,0~0,0~1
Sheffield United,0~2,2~1,1~0,0~1,0~1,1~0,0~0,0~2,1~3,2~1,1~1,2~1,2~1,3~2,1~0,,4~1,0~2,2~2,1~2
Southampton,1~1,1~1,3~3,2~1,2~3,0~1,3~4,2~0,1~0,1~2,2~1,1~1,1~0,1~1,3~1,2~0,,3~1,3~0,1~1
Sunderland,0~0,1~3,1~0,0~0,2~1,1~2,2~2,0~1,0~1,2~0,1~1,2~1,1~2,1~0,0~1,0~1,1~0,,0~0,0~0
Tottenham Hotspur,0~0,2~1,1~1,2~2,1~1,3~0,3~3,0~0,1~3,2~1,3~1,1~2,2~1,1~1,0~0,4~0,2~0,3~3,,4~2
Wimbledon,0~3,0~0,2~1,1~0,0~3,3~1,2~1,0~1,1~2,2~0,1~1,1~3,0~0,3~1,3~0,1~1,1~1,2~2,5~1,
