Home \ Away,ARS,AST,CHE,COV,CRY,EVE,LEE,LIV,LUT,MCI,MUN,NWC,NOT,NTC,OLD,QPR,SHU,SHW,SOU,TOT,WHU,WDN
Arsenal,,0~0,3~2,1~2,4~1,4~2,1~1,4~0,2~0,2~1,1~1,1~1,3~3,2~0,2~1,1~1,5~2,7~1,5~1,2~0,0~1,1~1
Aston Villa,3~1,,3~1,2~0,0~1,0~0,1~4,1~0,4~0,3~1,0~1,1~0,3~1,1~0,1~0,0~1,1~1,0~1,2~1,0~0,3~1,2~1
Chelsea,1~1,2~0,,0~1,1~1,2~2,0~1,2~2,4~1,1~1,1~3,0~3,1~0,2~2,4~2,2~1,1~2,0~3,1~1,2~0,2~1,2~2
Coventry City,0~1,1~0,0~1,,1~2,0~1,0~0,0~0,5~0,0~1,0~0,0~0,0~2,1~0,1~1,2~2,3~1,0~0,2~0,1~2,1~0,0~1
Crystal Palace,1~4,0~0,0~0,0~1,,2~0,1~0,1~0,1~1,1~1,1~3,3~4,0~0,1~0,0~0,2~2,2~1,1~1,1~0,1~2,2~3,3~2
Everton,3~1,0~2,2~1,3~0,2~2,,1~1,1~1,1~1,1~2,0~0,1~1,1~1,1~0,2~1,0~0,0~2,0~1,0~1,3~1,4~0,2~0
Leeds United,2~2,0~0,3~0,2~0,1~1,1~0,,1~0,2~0,3~0,1~1,1~0,1~0,3~0,1~0,2~0,4~3,1~1,3~3,1~1,0~0,5~1
Liverpool,2~0,1~1,1~2,1~0,1~2,3~1,0~0,,2~1,2~2,2~0,2~1,2~0,4~0,2~1,1~0,2~1,1~1,0~0,2~1,1~0,2~3
Luton Town,1~0,2~0,2~0,1~0,1~1,0~1,0~2,0~0,,2~2,1~1,2~0,2~1,1~1,2~1,0~1,2~1,2~2,2~1,0~0,0~1,2~1
Manchester City,1~0,2~0,0~0,1~0,3~2,0~1,4~0,2~1,4~0,,0~0,2~1,2~1,2~0,1~2,2~2,3~2,0~1,0~1,1~0,2~0,0~0
Manchester United,1~1,1~0,1~1,4~0,2~0,1~0,1~1,0~0,5~0,1~1,,3~0,1~2,2~0,1~0,1~4,2~0,1~1,1~0,3~1,2~1,0~0
Norwich City,1~3,2~1,0~1,3~2,3~3,4~3,2~2,3~0,1~0,0~0,1~3,,0~0,0~1,1~2,0~1,2~2,1~0,2~1,0~1,2~1,1~1
Nottingham Forest,3~2,2~0,1~1,1~0,5~1,2~1,0~0,1~1,1~1,2~0,1~0,2~0,,1~1,3~1,1~1,2~5,0~2,1~3,1~3,2~2,4~2
Notts County,0~1,0~0,2~0,1~0,2~3,0~0,2~4,1~2,2~1,1~3,1~1,2~2,0~4,,2~0,0~1,1~3,2~1,1~0,0~2,3~0,1~1
Oldham Athletic,1~1,3~2,3~0,2~1,2~3,2~2,2~0,2~3,5~1,2~5,3~6,2~2,2~1,4~3,,2~1,2~1,3~0,1~1,1~0,2~2,0~1
Queens Park Rangers,0~0,0~1,2~2,1~1,1~0,3~1,4~1,0~0,2~1,4~0,0~0,0~2,0~2,1~1,1~3,,1~0,1~1,2~2,1~2,0~0,1~1
Sheffield United,1~1,2~0,0~1,0~3,1~1,2~1,2~3,2~0,1~1,4~2,1~2,1~0,4~2,1~3,2~0,0~0,,2~0,0~2,2~0,1~1,0~0
Sheffield Wednesday,1~1,2~3,3~0,1~1,4~1,2~1,1~6,0~0,3~2,2~0,3~2,2~0,2~1,1~0,1~1,4~1,1~3,,2~0,0~0,2~1,2~0
Southampton,0~4,1~1,1~0,0~0,1~0,1~2,0~4,1~1,2~1,0~3,0~1,0~0,0~1,1~1,1~0,2~1,2~4,0~1,,2~3,1~0,1~0
Tottenham Hotspur,1~1,2~5,1~3,4~3,0~1,3~3,1~3,1~2,4~1,0~1,1~2,3~0,1~2,2~1,0~0,2~0,0~1,0~2,1~2,,3~0,3~2
West Ham United,0~2,3~1,1~1,0~1,0~2,0~2,1~3,0~0,0~0,1~2,1~0,4~0,3~0,0~2,1~0,2~2,1~1,1~2,0~1,2~1,,1~1
Wimbledon,1~3,2~0,1~2,1~1,1~1,0~0,0~0,0~0,3~0,2~1,1~2,3~1,3~0,2~0,2~1,0~1,3~0,2~1,0~1,3~5,2~0,
