Home \ Away,ARS,AST,BLB,CHE,COV,CRY,EVE,IPS,LEE,LIV,MCI,MUN,MID,NWC,NOT,OLD,QPR,SHU,SHW,SOU,TOT,WDN
Arsenal,,0~1,0~1,2~1,3~0,3~0,2~0,0~0,0~0,0~1,1~0,0~1,1~1,2~4,1~1,2~0,0~0,1~1,2~1,4~3,1~3,0~1
Aston Villa,1~0,,0~0,1~3,0~0,3~0,2~1,2~0,1~1,4~2,3~1,1~0,5~1,2~3,2~1,0~1,2~0,3~1,2~0,1~1,0~0,1~0
Blackburn Rovers,1~0,3~0,,2~0,2~5,1~2,2~3,2~1,3~1,4~1,1~0,0~0,1~1,7~1,4~1,2~0,1~0,1~0,1~0,0~0,0~2,0~0
Chelsea,1~0,0~1,0~0,,2~1,3~1,2~1,2~1,1~0,0~0,2~4,1~1,4~0,2~3,0~0,1~1,1~0,1~2,0~2,1~1,1~1,4~2
Coventry City,0~2,3~0,0~2,1~2,,2~2,0~1,2~2,3~3,5~1,2~3,0~1,2~1,1~1,0~1,3~0,0~1,1~3,1~0,2~0,1~0,0~2
Crystal Palace,1~2,1~0,3~3,1~1,0~0,,0~2,3~1,1~0,1~1,0~0,0~2,4~1,1~2,1~1,2~2,1~1,2~0,1~1,1~2,1~3,2~0
Everton,0~0,1~0,2~1,0~1,1~1,0~2,,3~0,2~0,2~1,1~3,0~2,2~2,0~1,3~0,2~2,3~5,0~2,1~1,2~1,1~2,0~0
Ipswich Town,1~2,1~1,2~1,1~1,0~0,2~2,1~0,,4~2,2~2,3~1,2~1,0~1,3~1,2~1,1~2,1~1,0~0,0~1,0~0,1~1,2~1
Leeds United,3~0,1~1,5~2,1~1,2~2,0~0,2~0,1~0,,2~2,1~0,0~0,3~0,0~0,1~4,2~0,1~1,3~1,3~1,2~1,5~0,2~1
Liverpool,0~2,1~2,2~1,2~1,4~0,5~0,1~0,0~0,2~0,,1~1,1~2,4~1,4~1,0~0,1~0,1~0,2~1,1~0,1~1,6~2,2~3
Manchester City,0~1,1~1,3~2,0~1,1~0,0~0,2~5,3~1,4~0,1~1,,1~1,0~1,3~1,2~2,3~3,1~1,2~0,1~2,1~0,0~1,1~1
Manchester United,0~0,1~1,3~1,3~0,5~0,1~0,0~3,1~1,2~0,2~2,2~1,,3~0,1~0,2~0,3~0,0~0,2~1,2~1,2~1,4~1,0~1
Middlesbrough,1~0,2~3,3~2,0~0,0~2,0~1,1~2,2~2,4~1,1~2,2~0,1~1,,3~3,1~2,2~3,0~1,2~0,1~1,2~1,3~0,2~0
Norwich City,1~1,1~0,0~0,2~1,1~1,4~2,1~1,0~2,4~2,1~0,2~1,1~3,1~1,,3~1,1~0,2~1,2~1,1~0,1~0,0~0,2~1
Nottingham Forest,0~1,0~1,1~3,3~0,1~1,1~1,0~1,0~1,1~1,1~0,0~2,0~2,1~0,0~3,,2~0,1~0,0~2,1~2,1~2,2~1,1~1
Oldham Athletic,0~1,1~1,0~1,3~1,0~1,1~1,1~0,4~2,2~2,3~2,0~1,1~0,4~1,2~3,5~3,,2~2,1~1,1~1,4~3,2~1,6~2
Queens Park Rangers,0~0,2~1,0~3,1~1,2~0,1~3,4~2,0~0,2~1,0~1,1~1,1~3,3~3,3~1,4~3,3~2,,3~2,3~1,3~1,4~1,1~2
Sheffield United,1~1,0~2,1~3,4~2,1~1,0~1,1~0,3~0,2~1,1~0,1~1,2~1,2~0,0~1,0~0,2~0,1~2,,1~1,2~0,6~0,2~2
Sheffield Wednesday,1~0,1~2,0~0,3~3,1~2,2~1,3~1,1~1,1~1,1~1,0~3,3~3,2~3,1~0,2~0,2~1,1~0,1~1,,5~2,2~0,1~1
Southampton,2~0,2~0,1~1,1~0,2~2,1~0,0~0,4~3,1~1,2~1,0~1,0~1,2~1,3~0,1~2,1~0,1~2,3~2,1~2,,0~0,2~2
Tottenham Hotspur,1~0,0~0,1~2,1~2,0~2,2~2,2~1,0~2,4~0,2~0,3~1,1~1,2~2,5~1,2~1,4~1,3~2,2~0,0~2,4~2,,1~1
Wimbledon,3~2,2~3,1~1,0~0,1~2,4~0,1~3,0~1,1~0,2~0,0~1,1~2,2~0,3~0,1~0,5~2,0~2,2~0,1~1,1~2,1~1,
