Home \ Away,ARS,AST,BLB,CHE,COV,EVE,IPS,LEE,LIV,MCI,MUN,NEW,NWC,OLD,QPR,SHU,SHW,SOU,SWI,TOT,WHU,WDN
Arsenal,,1~2,1~0,1~0,0~3,2~0,4~0,2~1,1~0,0~0,2~2,2~1,0~0,1~1,0~0,3~0,1~0,1~0,1~1,1~1,0~2,1~1
Aston Villa,1~2,,0~1,1~0,0~0,0~0,0~1,1~0,2~1,0~0,1~2,0~2,0~0,1~2,4~1,1~0,2~2,0~2,5~0,1~0,3~1,0~1
Blackburn Rovers,1~1,1~0,,2~0,2~1,2~0,0~0,2~1,2~0,2~0,2~0,1~0,2~3,1~0,1~1,0~0,1~1,2~0,3~1,1~0,0~2,3~0
Chelsea,0~2,1~1,1~2,,1~2,4~2,1~1,1~1,1~0,0~0,1~0,1~0,1~2,0~1,2~0,3~2,1~1,2~0,2~0,4~3,2~0,2~0
Coventry City,1~0,0~1,2~1,1~1,,2~1,1~0,0~2,1~0,4~0,0~1,2~1,2~1,1~1,0~1,0~0,1~1,1~1,1~1,1~0,1~1,1~2
Everton,1~1,0~1,0~3,4~2,0~0,,0~0,1~1,2~0,1~0,0~1,0~2,1~5,2~1,0~3,4~2,0~2,1~0,6~2,0~1,0~1,3~2
Ipswich Town,1~5,1~2,1~0,1~0,0~2,0~2,,0~0,1~2,2~2,1~2,1~1,2~1,0~0,1~3,3~2,1~4,1~0,1~1,2~2,1~1,0~0
Leeds United,2~1,2~0,3~3,4~1,1~0,3~0,0~0,,2~0,3~2,0~2,1~1,0~4,1~0,1~1,2~1,2~2,0~0,3~0,2~0,1~0,4~0
Liverpool,0~0,2~1,0~1,2~1,1~0,2~1,1~0,2~0,,2~1,3~3,0~2,0~1,2~1,3~2,1~2,2~0,4~2,2~2,1~2,2~0,1~1
Manchester City,0~0,3~0,0~2,2~2,1~1,1~0,2~1,1~1,1~1,,2~3,2~1,1~1,1~1,3~0,0~0,1~3,1~1,2~1,0~2,0~0,0~1
Manchester United,1~0,3~1,1~1,0~1,0~0,1~0,0~0,0~0,1~0,2~0,,1~1,2~2,3~2,2~1,3~0,5~0,2~0,4~2,2~1,3~0,3~1
Newcastle United,2~0,5~1,1~1,0~0,4~0,1~0,2~0,1~1,3~0,2~0,1~1,,3~0,3~2,1~2,4~0,4~2,1~2,7~1,0~1,2~0,4~0
Norwich City,1~1,1~2,2~2,1~1,1~0,3~0,1~0,2~1,2~2,1~1,0~2,1~2,,1~1,3~4,0~1,1~1,4~5,0~0,1~2,0~0,0~1
Oldham Athletic,0~0,1~1,1~2,2~1,3~3,0~1,0~3,1~1,0~3,0~0,2~5,1~3,2~1,,4~1,1~1,0~0,2~1,2~1,0~2,1~2,1~1
Queens Park Rangers,1~1,2~2,1~0,1~1,5~1,2~1,3~0,0~4,1~3,1~1,2~3,1~2,2~2,2~0,,2~1,1~2,2~1,1~3,1~1,0~0,1~0
Sheffield United,1~1,1~2,1~2,1~0,0~0,0~0,1~1,2~2,0~0,0~1,0~3,2~0,1~2,2~1,1~1,,1~1,0~0,3~1,2~2,3~2,2~1
Sheffield Wednesday,0~1,0~0,1~2,3~1,0~0,5~1,5~0,3~3,3~1,1~1,2~3,0~1,3~3,3~0,3~1,3~1,,2~0,3~3,1~0,5~0,2~2
Southampton,0~4,4~1,3~1,3~1,1~0,0~2,0~1,0~2,4~2,0~1,1~3,2~1,0~1,1~3,0~1,3~3,1~1,,5~1,1~0,0~2,1~0
Swindon Town,0~4,1~2,1~3,1~3,3~1,1~1,2~2,0~5,0~5,1~3,2~2,2~2,3~3,0~1,1~0,0~0,0~1,2~1,,2~1,1~1,2~4
Tottenham Hotspur,0~1,1~1,0~2,1~1,1~2,3~2,1~1,1~1,3~3,1~0,0~1,1~2,1~3,5~0,1~2,2~2,1~3,3~0,1~1,,1~4,1~1
West Ham United,0~0,0~0,1~2,1~0,3~2,0~1,2~1,0~1,1~2,3~1,2~2,2~4,3~3,2~0,0~4,0~0,2~0,3~3,0~0,1~3,,0~2
Wimbledon,0~3,2~2,4~1,1~1,1~2,1~1,0~2,1~0,1~1,1~0,1~0,4~2,3~1,3~0,1~1,2~0,2~1,1~0,3~0,2~1,1~2,
