Home \ Away,ARS,AST,BLB,CHE,COV,CRY,EVE,IPS,LEE,LEI,LIV,MCI,MUN,NEW,NWC,NOT,QPR,SHW,SOU,TOT,WHU,WDN
Arsenal,,0~0,0~0,3~1,2~1,1~2,1~1,4~1,1~3,1~1,0~1,3~0,0~0,2~3,5~1,1~0,1~3,0~0,1~1,1~1,0~1,0~0
Aston Villa,0~4,,0~1,3~0,0~0,1~1,0~0,2~0,0~0,4~4,2~0,1~1,1~2,0~2,1~1,0~2,2~1,1~1,1~1,1~0,0~2,7~1
Blackburn Rovers,3~1,3~1,,2~1,4~0,2~1,3~0,4~1,1~1,3~0,3~2,2~3,2~4,1~0,0~0,3~0,4~0,3~1,3~2,2~0,4~2,2~1
Chelsea,2~1,1~0,1~2,,2~2,0~0,0~1,2~0,0~3,4~0,0~0,3~0,2~3,1~1,2~0,0~2,1~0,1~1,0~2,1~1,1~2,1~1
Coventry City,0~1,0~1,1~1,2~2,,1~4,0~0,2~0,2~1,4~2,1~1,1~0,2~3,0~0,1~0,0~0,0~1,2~0,1~3,0~4,2~0,1~1
Crystal Palace,0~3,0~0,0~1,0~1,0~2,,1~0,3~0,1~2,2~0,1~6,2~1,1~1,0~1,0~1,1~2,0~0,2~1,0~0,1~1,1~0,0~0
Everton,1~1,2~2,1~2,3~3,0~2,3~1,,4~1,3~0,1~1,2~0,1~1,1~0,2~0,2~1,1~2,2~2,1~4,0~0,0~0,1~0,0~0
Ipswich Town,0~2,0~1,1~3,2~2,2~0,0~2,0~1,,2~0,4~1,1~3,1~2,3~2,0~2,1~2,0~1,0~1,1~2,2~1,1~3,1~1,2~2
Leeds United,1~0,1~0,1~1,2~3,3~0,3~1,1~0,4~0,,2~1,0~2,2~0,2~1,0~0,2~1,1~0,4~0,0~1,0~0,1~1,2~2,3~1
Leicester City,2~1,1~1,0~0,1~1,2~2,0~1,2~2,2~0,1~3,,1~2,0~1,0~4,1~3,1~0,2~4,1~1,0~1,4~3,3~1,1~2,3~4
Liverpool,3~0,3~2,2~1,3~1,2~3,0~0,0~0,0~1,0~1,2~0,,2~0,2~0,2~0,4~0,1~0,1~1,4~1,3~1,1~1,0~0,3~0
Manchester City,1~2,2~2,1~3,1~2,0~0,1~1,4~0,2~0,0~0,0~1,2~1,,0~3,0~0,2~0,3~3,2~3,3~2,3~3,5~2,3~0,2~0
Manchester United,3~0,1~0,1~0,0~0,2~0,3~0,2~0,9~0,0~0,1~1,2~0,5~0,,2~0,1~0,1~2,2~0,1~0,2~1,0~0,1~0,3~0
Newcastle United,1~0,3~1,1~1,4~2,4~0,3~2,2~0,1~1,1~2,3~1,1~1,0~0,1~1,,3~0,2~1,2~1,2~1,5~1,3~3,2~0,2~1
Norwich City,0~0,1~1,2~1,3~0,2~2,0~0,0~0,3~0,2~1,2~1,1~2,1~1,0~2,2~1,,0~1,4~2,0~0,2~2,0~2,1~0,1~2
Nottingham Forest,2~2,1~2,0~2,0~1,2~0,1~0,2~1,4~1,3~0,1~0,1~1,1~0,1~1,0~0,1~0,,3~2,4~1,3~0,2~2,1~1,3~1
Queens Park Rangers,3~1,2~0,0~1,1~0,2~2,0~1,2~3,1~2,3~2,2~0,2~1,1~2,2~3,3~0,2~0,1~1,,3~2,2~2,2~1,2~1,0~1
Sheffield Wednesday,3~1,1~2,0~1,1~1,5~1,1~0,0~0,4~1,1~1,1~0,1~2,1~1,1~0,0~0,0~0,1~7,0~2,,1~1,3~4,1~0,0~1
Southampton,1~0,2~1,1~1,0~1,0~0,3~1,2~0,3~1,1~3,2~2,0~2,2~2,2~2,3~1,1~1,1~1,2~1,0~0,,4~3,1~1,2~3
Tottenham Hotspur,1~0,3~4,3~1,0~0,1~3,0~0,2~1,3~0,1~1,1~0,0~0,2~1,0~1,4~2,1~0,1~4,1~1,3~1,1~2,,3~1,1~2
West Ham United,0~2,1~0,2~0,1~2,0~1,1~0,2~2,1~1,0~0,1~0,3~0,3~0,1~1,1~3,2~2,3~1,0~0,0~2,2~0,1~2,,3~0
Wimbledon,1~3,4~3,0~3,1~1,2~0,2~0,2~1,1~1,0~0,2~1,0~0,2~0,0~1,3~2,1~0,2~2,1~3,0~1,0~2,1~2,1~0,
