Home \ Away,ARS,AST,BLB,CHE,COV,DER,EVE,LEE,LEI,LIV,MUN,MID,NEW,NOT,SHW,SOU,SUN,TOT,WHU,WDN
Arsenal,,2~2,1~1,3~3,0~0,2~2,3~1,3~0,2~0,1~2,1~2,2~0,0~1,2~0,4~1,3~1,2~0,3~1,2~0,0~1
Aston Villa,2~2,,1~0,0~2,2~1,2~0,3~1,2~0,1~3,1~0,0~0,1~0,2~2,2~0,0~1,1~0,1~0,1~1,0~0,5~0
Blackburn Rovers,0~2,0~2,,1~1,4~0,1~2,1~1,0~1,2~4,3~0,2~3,0~0,1~0,1~1,4~1,2~1,1~0,0~2,2~1,3~1
Chelsea,0~3,1~1,1~1,,2~0,3~1,2~2,0~0,2~1,1~0,1~1,1~0,1~1,1~1,2~2,1~0,6~2,3~1,3~1,2~4
Coventry City,1~1,1~2,0~0,3~1,,1~2,0~0,2~1,0~0,0~1,0~2,3~0,2~1,0~3,0~0,1~1,2~2,1~2,1~3,1~1
Derby County,1~3,2~1,0~0,3~2,2~1,,0~1,3~3,2~0,0~1,1~1,2~1,0~1,0~0,2~2,1~1,1~0,4~2,1~0,0~2
Everton,0~2,0~1,0~2,1~2,1~1,1~0,,0~0,1~1,1~1,0~2,1~2,2~0,2~0,2~0,7~1,1~3,1~0,2~1,1~3
Leeds United,0~0,0~0,0~0,2~0,1~3,0~0,1~0,,3~0,0~2,0~4,1~1,0~1,2~0,0~2,0~0,3~0,0~0,1~0,1~0
Leicester City,0~2,1~0,1~1,1~3,0~2,4~2,1~2,1~0,,0~3,2~2,1~3,2~0,2~2,1~0,2~1,1~1,1~1,0~1,1~0
Liverpool,2~0,3~0,0~0,5~1,1~2,2~1,1~1,4~0,1~1,,1~3,5~1,4~3,4~2,0~1,2~1,0~0,2~1,0~0,1~1
Manchester United,1~0,0~0,2~2,1~2,3~1,2~3,2~2,1~0,3~1,1~0,,3~3,0~0,4~1,2~0,2~1,5~0,2~0,2~0,2~1
Middlesbrough,0~2,3~2,2~1,1~0,4~0,6~1,4~2,0~0,0~2,3~3,2~2,,0~1,1~1,4~2,0~1,0~1,0~3,4~1,0~0
Newcastle United,1~2,4~3,2~1,3~1,4~0,3~1,4~1,3~0,4~3,1~1,5~0,3~1,,5~0,1~2,0~1,1~1,7~1,1~1,2~0
Nottingham Forest,2~1,0~0,2~2,2~0,0~1,1~1,0~1,1~1,0~0,1~1,0~4,1~1,0~0,,0~3,1~3,1~4,2~1,0~2,1~1
Sheffield Wednesday,0~0,2~1,1~1,0~2,0~0,0~0,2~1,2~2,2~1,1~1,1~1,3~1,1~1,2~0,,1~1,2~1,2~1,0~0,3~1
Southampton,0~2,0~1,2~0,0~0,2~2,3~1,2~2,0~2,2~2,0~1,6~3,4~0,2~2,2~2,2~3,,3~0,0~1,2~0,0~0
Sunderland,1~0,1~0,0~0,3~0,1~0,2~0,3~0,0~1,0~0,1~2,2~1,2~2,1~2,1~1,1~1,0~1,,0~4,0~0,1~3
Tottenham Hotspur,0~0,1~0,2~1,1~2,1~2,1~1,0~0,1~0,1~2,0~2,1~2,1~0,1~2,0~1,1~1,3~1,2~0,,1~0,1~0
West Ham United,1~2,0~2,2~1,3~2,1~1,1~1,2~2,0~2,1~0,1~2,2~2,0~0,0~0,0~1,5~1,2~1,2~0,4~3,,0~2
Wimbledon,2~2,0~2,1~0,0~1,2~2,1~1,4~0,2~0,1~3,2~1,0~3,1~1,1~1,1~0,4~2,3~1,1~0,1~0,1~1,
