Home \ Away,ARS,AST,BAR,BLB,BOL,CHE,COV,CRY,DER,EVE,LEE,LEI,LIV,MUN,NEW,SHW,SOU,TOT,WHU,WDN
Arsenal,,0~0,5~0,1~3,4~1,2~0,2~0,1~0,1~0,4~0,2~1,2~1,0~1,3~2,3~1,1~0,3~0,0~0,4~0,5~0
Aston Villa,1~0,,0~1,0~4,1~3,0~2,3~0,3~1,2~1,2~1,1~0,1~1,2~1,0~2,0~1,2~2,1~1,4~1,2~0,1~2
Barnsley,0~2,0~3,,1~1,2~1,0~6,2~0,1~0,1~0,2~2,2~3,0~2,2~3,0~2,2~2,2~1,4~3,1~1,1~2,2~1
Blackburn Rovers,1~4,5~0,2~1,,3~1,1~0,0~0,2~2,1~0,3~2,3~4,5~3,1~1,1~3,1~0,7~2,1~0,0~3,3~0,0~0
Bolton Wanderers,0~1,0~1,1~1,2~1,,1~0,1~5,5~2,3~3,0~0,2~3,2~0,1~1,0~0,1~0,3~2,0~0,1~1,1~1,1~0
Chelsea,2~3,0~1,2~0,0~1,2~0,,3~1,6~2,4~0,2~0,0~0,1~0,4~1,0~1,1~0,1~0,4~2,2~0,2~1,1~1
Coventry City,2~2,1~2,1~0,2~0,2~2,3~2,,1~1,1~0,0~0,0~0,0~2,1~1,3~2,2~2,1~0,1~0,4~0,1~1,0~0
Crystal Palace,0~0,1~1,0~1,1~2,2~2,0~3,0~3,,3~1,1~3,0~2,0~3,0~3,0~3,1~2,1~0,1~1,1~3,3~3,0~3
Derby County,3~0,0~1,1~0,3~1,4~0,0~1,3~1,0~0,,3~1,0~5,0~4,1~0,2~2,1~0,3~0,4~0,2~1,2~0,1~1
Everton,2~2,1~4,4~2,1~0,3~2,3~1,1~1,1~2,1~2,,2~0,1~1,2~0,0~2,0~0,1~3,0~2,0~2,2~1,0~0
Leeds United,1~1,1~1,2~1,4~0,2~0,3~1,3~3,0~2,4~3,0~0,,0~1,0~2,1~0,4~1,1~2,0~1,1~0,3~1,1~1
Leicester City,3~3,1~0,1~0,1~1,0~0,2~0,1~1,1~1,1~2,0~1,1~0,,0~0,0~0,0~0,1~1,3~3,3~0,2~1,0~1
Liverpool,4~0,3~0,0~1,0~0,2~1,4~2,1~0,2~1,4~0,1~1,3~1,1~2,,1~3,1~0,2~1,2~3,4~0,5~0,2~0
Manchester United,0~1,1~0,7~0,4~0,1~1,2~2,3~0,2~0,2~0,2~0,3~0,0~1,1~1,,1~1,6~1,1~0,2~0,2~1,2~0
Newcastle United,0~1,1~0,2~1,1~1,2~1,3~1,0~0,1~2,0~0,1~0,1~1,3~3,1~2,0~1,,2~1,2~1,1~0,0~1,1~3
Sheffield Wednesday,2~0,1~3,2~1,0~0,5~0,1~4,0~0,1~3,2~5,3~1,1~3,1~0,3~3,2~0,2~1,,1~0,1~0,1~1,1~1
Southampton,1~3,1~2,4~1,3~0,0~1,1~0,1~2,1~0,0~2,2~1,0~2,2~1,1~1,1~0,2~1,2~3,,3~2,3~0,0~1
Tottenham Hotspur,1~1,3~2,3~0,0~0,1~0,1~6,1~1,0~1,1~0,1~1,0~1,1~1,3~3,0~2,2~0,3~2,1~1,,1~0,0~0
West Ham United,0~0,2~1,6~0,2~1,3~0,2~1,1~0,4~1,0~0,2~2,3~0,4~3,2~1,1~1,0~1,1~0,2~4,2~1,,3~1
Wimbledon,0~1,2~1,4~1,0~1,0~0,0~2,1~2,0~1,0~0,0~0,1~0,2~1,1~1,2~5,0~0,1~1,1~0,2~6,1~2,
