Home \ Away,ARS,AST,BLB,CHA,CHE,COV,DER,EVE,LEE,LEI,LIV,MUN,MID,NEW,NOT,SHW,SOU,TOT,WHU,WDN
Arsenal,,1~0,1~0,0~0,1~0,2~0,1~0,1~0,3~1,5~0,0~0,3~0,1~1,3~0,2~1,3~0,1~1,0~0,1~0,5~1
Aston Villa,3~2,,1~3,3~4,0~3,1~4,1~0,3~0,1~2,1~1,2~4,1~1,3~1,1~0,2~0,2~1,3~0,3~2,0~0,2~0
Blackburn Rovers,1~2,2~1,,1~0,3~4,1~2,0~0,1~2,1~0,1~0,1~3,0~0,0~0,0~0,1~2,1~4,0~2,1~1,3~0,3~1
Charlton Athletic,0~1,0~1,0~0,,0~1,1~1,1~2,1~2,1~1,0~0,1~0,0~1,1~1,2~2,0~0,0~1,5~0,1~4,4~2,2~0
Chelsea,0~0,2~1,1~1,2~1,,2~1,2~1,3~1,1~0,2~2,2~1,0~0,2~0,1~1,2~1,1~1,1~0,2~0,0~1,3~0
Coventry City,0~1,1~2,1~1,2~1,2~1,,1~1,3~0,2~2,1~1,2~1,0~1,1~2,1~5,4~0,1~0,1~0,1~1,0~0,2~1
Derby County,0~0,2~1,1~0,0~2,2~2,0~0,,2~1,2~2,2~0,3~2,1~1,2~1,3~4,1~0,1~0,0~0,0~1,0~2,0~0
Everton,0~2,0~0,0~0,4~1,0~0,2~0,0~0,,0~0,0~0,0~0,1~4,5~0,1~0,0~1,1~2,1~0,0~1,6~0,1~1
Leeds United,1~0,0~0,1~0,4~1,0~0,2~0,4~1,1~0,,0~1,0~0,1~1,2~0,0~1,3~1,2~1,3~0,2~0,4~0,2~2
Leicester City,1~1,2~2,1~1,1~1,2~4,1~0,1~2,2~0,1~2,,1~0,2~6,0~1,2~0,3~1,0~2,2~0,2~1,0~0,1~1
Liverpool,0~0,0~1,2~0,3~3,1~1,2~0,1~2,3~2,1~3,0~1,,2~2,3~1,4~2,5~1,2~0,7~1,3~2,2~2,3~0
Manchester United,1~1,2~1,3~2,4~1,1~1,2~0,1~0,3~1,3~2,2~2,2~0,,2~3,0~0,3~0,3~0,2~1,2~1,4~1,5~1
Middlesbrough,1~6,0~0,2~1,2~0,0~0,2~0,1~1,2~2,0~0,0~0,1~3,0~1,,2~2,1~1,4~0,3~0,0~0,1~0,3~1
Newcastle United,1~1,2~1,1~1,0~0,0~1,4~1,2~1,1~3,0~3,1~0,1~4,1~2,1~1,,2~0,1~1,4~0,1~1,0~3,3~1
Nottingham Forest,0~1,2~2,2~2,0~1,1~3,1~0,2~2,0~2,1~1,1~0,2~2,1~8,1~2,1~2,,2~0,1~1,0~1,0~0,0~1
Sheffield Wednesday,1~0,0~1,3~0,3~0,0~0,1~2,0~1,0~0,0~2,0~1,1~0,3~1,3~1,1~1,3~2,,0~0,0~0,0~1,1~2
Southampton,0~0,1~4,3~3,3~1,0~2,2~1,0~1,2~0,3~0,2~1,1~2,0~3,3~3,2~1,1~2,1~0,,1~1,1~0,3~1
Tottenham Hotspur,1~3,1~0,2~1,2~2,2~2,0~0,1~1,4~1,3~3,0~2,2~1,2~2,0~3,2~0,2~0,0~3,3~0,,1~2,0~0
West Ham United,0~4,0~0,2~0,0~1,1~1,2~0,5~1,2~1,1~5,3~2,2~1,0~0,4~0,2~0,2~1,0~4,1~0,2~1,,3~4
Wimbledon,1~0,0~0,1~1,2~1,1~2,2~1,2~1,1~2,1~1,0~1,1~0,1~1,2~2,1~1,1~3,2~1,0~2,3~1,0~0,
