Home \ Away,ARS,AST,BRA,CHE,COV,DER,EVE,LEE,LEI,LIV,MUN,MID,NEW,SHW,SOU,SUN,TOT,WAT,WHU,WDN
Arsenal,,3~1,2~0,2~1,3~0,2~1,4~1,2~0,2~1,0~1,1~2,5~1,0~0,3~3,3~1,4~1,2~1,1~0,2~1,1~1
Aston Villa,1~1,,1~0,0~0,1~0,2~0,3~0,1~0,2~2,0~0,0~1,1~0,0~1,2~1,0~1,1~1,1~1,4~0,2~2,1~1
Bradford City,2~1,1~1,,1~1,1~1,4~4,0~0,1~2,3~1,1~0,0~4,1~1,2~0,1~1,1~2,0~4,1~1,3~2,0~3,3~0
Chelsea,2~3,1~0,1~0,,2~1,4~0,1~1,0~2,1~1,2~0,5~0,1~1,1~0,3~0,1~1,4~0,1~0,2~1,0~0,3~1
Coventry City,3~2,2~1,4~0,2~2,,2~0,1~0,3~4,0~1,0~3,1~2,2~1,4~1,4~1,0~1,3~2,0~1,4~0,1~0,2~0
Derby County,1~2,0~2,0~1,3~1,0~0,,1~0,0~1,3~0,0~2,1~2,1~3,0~0,3~3,2~0,0~5,0~1,2~0,1~2,4~0
Everton,0~1,0~0,4~0,1~1,1~1,2~1,,4~4,2~2,0~0,1~1,0~2,0~2,1~1,4~1,5~0,2~2,4~2,1~0,4~0
Leeds United,0~4,1~2,2~1,0~1,3~0,0~0,1~1,,2~1,1~2,0~1,2~0,3~2,2~0,1~0,2~1,1~0,3~1,1~0,4~1
Leicester City,0~3,3~1,3~0,2~2,1~0,0~1,1~1,2~1,,2~2,0~2,2~1,1~2,3~0,2~1,5~2,0~1,1~0,1~3,2~1
Liverpool,2~0,0~0,3~1,1~0,2~0,2~0,0~1,3~1,0~2,,2~3,0~0,2~1,4~1,0~0,1~1,2~0,0~1,1~0,3~1
Manchester United,1~1,3~0,4~0,3~2,3~2,3~1,5~1,2~0,2~0,1~1,,1~0,5~1,4~0,3~3,4~0,3~1,4~1,7~1,1~1
Middlesbrough,2~1,0~4,0~1,0~1,2~0,1~4,2~1,0~0,0~3,1~0,3~4,,2~2,1~0,3~2,1~1,2~1,1~1,2~0,0~0
Newcastle United,4~2,0~1,2~0,0~1,2~0,2~0,1~1,2~2,0~2,2~2,3~0,2~1,,8~0,5~0,1~2,2~1,1~0,2~2,3~3
Sheffield Wednesday,1~1,0~1,2~0,1~0,0~0,0~2,0~2,0~3,4~0,1~2,0~1,1~0,0~2,,0~1,0~2,1~2,2~2,3~1,5~1
Southampton,0~1,2~0,1~0,1~2,0~0,3~3,2~0,0~3,1~2,1~1,1~3,1~1,4~2,2~0,,1~2,0~1,2~0,2~1,2~0
Sunderland,0~0,2~1,0~1,4~1,1~1,1~1,2~1,1~2,2~0,0~2,2~2,1~1,2~2,1~0,2~0,,2~1,2~0,1~0,2~1
Tottenham Hotspur,2~1,2~4,1~1,0~1,3~2,1~1,3~2,1~2,2~3,1~0,3~1,2~3,3~1,0~1,7~2,3~1,,4~0,0~0,2~0
Watford,2~3,0~1,1~0,1~0,1~0,0~0,1~3,1~2,1~1,2~3,2~3,1~3,1~1,1~0,3~2,2~3,1~1,,1~2,2~3
West Ham United,2~1,1~1,5~4,0~0,5~0,1~1,0~4,0~0,2~1,1~0,2~4,0~1,2~1,4~3,2~0,1~1,1~0,1~0,,2~1
Wimbledon,1~3,2~2,3~2,0~1,1~1,2~2,0~3,2~0,2~1,1~2,2~2,2~3,2~0,0~2,1~1,1~0,1~1,5~0,2~2,
